t,z,y,vz,vy,thrust_z,thrust_y,battery,delta,A,e_R,lf,vy_value,wh_rth,wh_land,crashed,landed,decision
0.99,2.5,115.79166666666669,-0.015823076923076926,-8.333333333333323,20.0,-10.0,0.09288946655198824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.0,2.5,115.70750000000002,-0.015823076923076926,-8.416666666666657,20.0,-10.0,0.09286836121750812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.01,2.5,115.62250000000003,-0.015823076923076926,-8.499999999999991,20.0,-10.0,0.092847255883028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.02,2.5,115.5366666666667,-0.015823076923076926,-8.583333333333325,20.0,-10.0,0.09282615054854788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.03,2.5,115.45000000000003,-0.015823076923076926,-8.666666666666659,20.0,-10.0,0.09280504521406777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.04,2.5,115.36250000000003,-0.015823076923076926,-8.749999999999993,20.0,-10.0,0.09278393987958765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.05,2.5,115.27416666666669,-0.015823076923076926,-8.833333333333327,20.0,-10.0,0.09276283454510753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.06,2.5,115.18500000000002,-0.015823076923076926,-8.91666666666666,20.0,-10.0,0.09274172921062741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.07,2.5,115.09500000000001,-0.015823076923076926,-8.999999999999995,20.0,-10.0,0.0927206238761473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.08,2.5,115.00416666666668,-0.015823076923076926,-9.083333333333329,20.0,-10.0,0.09269951854166718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.09,2.5,114.91250000000001,-0.015823076923076926,-9.166666666666663,20.0,-10.0,0.09267841320718706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.1,2.5,114.82000000000001,-0.015823076923076926,-9.249999999999996,20.0,-10.0,0.09265730787270694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.11,2.5,114.72666666666667,-0.015823076923076926,-9.33333333333333,20.0,-10.0,0.09263620253822683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.12,2.5,114.63250000000001,-0.015823076923076926,-9.416666666666664,20.0,-10.0,0.09261509720374671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.1300000000000001,2.5,114.53750000000001,-0.015823076923076926,-9.499999999999998,20.0,-10.0,0.09259399186926659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.1400000000000001,2.5,114.44166666666668,-0.015823076923076926,-9.583333333333332,20.0,-10.0,0.09257288653478647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.1500000000000001,2.5,114.34500000000001,-0.015823076923076926,-9.666666666666666,20.0,-10.0,0.09255178120030635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.16,2.5,114.24750000000002,-0.015823076923076926,-9.75,20.0,-10.0,0.09253067586582624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.17,2.5,114.14916666666669,-0.015823076923076926,-9.833333333333334,20.0,-10.0,0.09250957053134612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.18,2.5,114.05000000000003,-0.015823076923076926,-9.916666666666668,20.0,-10.0,0.092488465196866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.19,2.5,113.95000000000003,-0.015823076923076926,-10.000000000000002,20.0,-10.0,0.09246735986238588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.2,2.5,113.8491666666667,-0.015823076923076926,-10.083333333333336,20.0,-10.0,0.09244625452790577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.21,2.5,113.74750000000003,-0.015823076923076926,-10.16666666666667,20.0,-10.0,0.09242514919342565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.22,2.5,113.64500000000002,-0.015823076923076926,-10.250000000000004,20.0,-10.0,0.09240404385894553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.23,2.5,113.54166666666669,-0.015823076923076926,-10.333333333333337,20.0,-10.0,0.09238293852446541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.24,2.5,113.43750000000001,-0.015823076923076926,-10.416666666666671,20.0,-10.0,0.0923618331899853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.25,2.5,113.33250000000001,-0.015823076923076926,-10.500000000000005,20.0,-10.0,0.09234072785550518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.26,2.5,113.22666666666667,-0.015823076923076926,-10.58333333333334,20.0,-10.0,0.09231962252102506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.27,2.5,113.12,-0.015823076923076926,-10.666666666666673,20.0,-10.0,0.09229851718654494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.28,2.5,113.0125,-0.015823076923076926,-10.750000000000007,20.0,-10.0,0.09227741185206483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.29,2.5,112.90416666666667,-0.015823076923076926,-10.833333333333341,20.0,-10.0,0.09225630651758471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.3,2.5,112.795,-0.015823076923076926,-10.916666666666675,20.0,-10.0,0.09223520118310459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.31,2.5,112.685,-0.015823076923076926,-11.000000000000009,20.0,-10.0,0.09221409584862447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.32,2.5,112.57416666666667,-0.015823076923076926,-11.083333333333343,20.0,-10.0,0.09219299051414435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.33,2.5,112.4625,-0.015823076923076926,-11.166666666666677,20.0,-10.0,0.09217188517966424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.34,2.5,112.35000000000001,-0.015823076923076926,-11.25000000000001,20.0,-10.0,0.09215077984518412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.35,2.5,112.23666666666668,-0.015823076923076926,-11.333333333333345,20.0,-10.0,0.092129674510704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.36,2.5,112.12250000000002,-0.015823076923076926,-11.416666666666679,20.0,-10.0,0.09210856917622388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.37,2.5,112.00750000000002,-0.015823076923076926,-11.500000000000012,20.0,-10.0,0.09208746384174377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.3800000000000001,2.5,111.8916666666667,-0.015823076923076926,-11.583333333333346,20.0,-10.0,0.09206635850726365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.3900000000000001,2.5,111.77500000000003,-0.015823076923076926,-11.66666666666668,20.0,-10.0,0.09204525317278353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.4000000000000001,2.5,111.65750000000003,-0.015823076923076926,-11.750000000000014,20.0,-10.0,0.09202414783830341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.41,2.5,111.53916666666669,-0.015823076923076926,-11.833333333333348,20.0,-10.0,0.0920030425038233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.42,2.5,111.42000000000002,-0.015823076923076926,-11.916666666666682,20.0,-10.0,0.09198193716934318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.43,2.5,111.30000000000001,-0.015823076923076926,-12.000000000000016,20.0,-10.0,0.09196083183486306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1.44,2.5,111.17916666666667,-0.015823076923076926,-12.08333333333335,20.0,-10.0,0.09193972650038294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
