t,z,y,vz,vy,thrust_z,thrust_y,delta,A,e_R,lf,vy_value,wind_y
26.05,1.19161222306586,-0.1575997000676662,0.0022354388645582195,-0.0036284613036870615,11.766292496516021,0.007380105926019377,3.0430211914423837,1.0,-0.0,0.4114,1.0,0.0
26.060000000000002,1.1916389679401134,-0.15765139437118825,0.0026744874253474297,-0.005169430352205129,11.824685827294706,-0.18492681840731395,0.006425223372654113,1.0,-0.0,0.4114,1.0,0.0
26.07,1.1916651556294866,-0.15770222532145092,0.002618768937319356,-0.005083095026267268,11.765313781436632,0.010338860704410258,2.1683725020353606,1.0,-0.0,0.4114,1.0,0.0
26.080000000000002,1.191690797741998,-0.15775220736668555,0.002564211251125208,-0.004998204523462507,11.765453077656701,0.010166190052534536,2.127753575831849,1.0,-0.0,0.4114,1.0,0.0
26.09,1.1917487743282196,-0.1577928288419611,0.005797658622155258,-0.0040621475275548396,12.160013684523607,0.11230685387015334,0.008183552526982111,1.0,-0.0,0.4114,1.0,0.0
26.1,1.1918055430688947,-0.15783277219257924,0.005676874067527038,-0.0039943350618120215,11.757505853444613,0.008124295055109679,4.305951725004612,1.0,-0.0,0.4114,1.0,0.0
26.11,1.1918611291274726,-0.15787204875703956,0.005558605857786887,-0.003927656446031247,11.757807814831182,0.007988670123624043,4.230020336637961,1.0,-0.0,0.4114,1.0,0.0
26.12,1.1919444878188226,-0.1579276718116357,0.008335869134996211,-0.0055623054596143535,12.105271593265119,-0.1961702228180991,0.01104806787094962,1.0,-0.0,0.4114,1.0,0.0
26.13,1.1920261098707694,-0.15798236575270577,0.008162205194683789,-0.0054693941070072735,11.75116032716251,0.011124610919228707,4.773335607945053,1.0,-0.0,0.4114,1.0,0.0
26.14,1.1921060314633007,-0.15803614613380654,0.007992159253127884,-0.005378038110077834,11.751594487013291,0.010938788214014547,4.689150595428714,1.0,-0.0,0.4114,1.0,0.0
26.150000000000002,1.1921551868676077,-0.15807373305123898,0.004915540430688967,-0.0037586917432447706,11.40280574130733,0.19429842538483683,0.015629431973571833,1.0,-0.0,0.4114,1.0,0.0
26.16,1.1922033182009915,-0.15811069257819665,0.004813133338382957,-0.003695952695766553,11.759711148923278,0.007517383486489541,4.622401858357514,1.0,-0.0,0.4114,1.0,0.0
26.17,1.192250446798263,-0.15814703520236728,0.004712859727166644,-0.0036342624170615815,11.759967166654043,0.007391905391533106,4.537424895079122,1.0,-0.0,0.4114,1.0,0.0
26.18,1.1923029463546595,-0.15817702521811297,0.005249955639639,-0.0029990015745677994,11.836451509496683,0.07622073480860098,0.009660805459794641,1.0,-0.0,0.4114,1.0,0.0
