beta,sigma,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.88,5,0.47,3,-0.3363363864269958,0.2,-0.0018987938709440686,0.1308033447204237
0.88,5,0.65,3,-0.35500141366609145,0.2,0.002447066821882678,0.13178800204384583
0.88,6.8,0.3,3,-0.20302372025542426,4.7,-0.001701537300997893,0.12206597993201147
0.88,6.8,0.47,3,-0.3363363864269958,0.3,-0.0013710586986931338,0.13223592210385604
0.88,6.8,0.65,3,-0.35500141366609145,0.3,-0.0009149427945365378,0.1285068230309497
0.88,8,0.3,3,-0.20302372025542426,4.8,0.003965822827897724,0.1288475293206587
0.88,8,0.47,3,-0.3363363864269958,0.4,0.0002495839465138443,0.1336560485652835
0.88,8,0.65,3,-0.35500141366609145,0.4,0.002930376941162814,0.1318433283664455
0.94,3,0.3,3,-0.22369804236233842,4.2,-0.0008394119856401623,0.12835576937779766
0.94,3,0.47,3,-0.34320283161676346,0.2,-0.0029646638254289394,0.12939154998626443
0.94,3,0.65,3,-0.35174266368245466,0.1,-0.0004324994498753757,0.13191057110691665
0.94,5,0.3,3,-0.22369804236233842,4.4,0.005256512679073798,0.13185253309649594
0.94,5,0.47,3,-0.34320283161676346,0.3,0.008681758448834365,0.13432621894488497
0.94,5,0.65,3,-0.35174266368245466,0,0.00767613683800479,0.12779961678351354
0.94,6.8,0.3,3,-0.22369804236233842,2.7,0.0015973843193586123,0.12799370056646714
0.94,6.8,0.47,3,-0.34320283161676346,0,0.006801266253869907,0.13571550921298786
0.94,6.8,0.65,3,-0.35174266368245466,0.4,-0.00603512084987475,0.12838743250714377
0.94,8,0.3,3,-0.22369804236233842,3.1,0.005630609470089785,0.13058903525442997
0.94,8,0.47,3,-0.34320283161676346,0.1,0.0009132186469571142,0.1284971753566106
0.94,8,0.65,3,-0.35174266368245466,0.1,-0.0038845180278568162,0.1295434855727339
0.98,3,0.3,3,-0.22789940348776902,3.2,0.005226295225269824,0.12967272478463682
0.98,3,0.47,3,-0.34920158007332125,0.3,0.002318160687362588,0.13479835801462178
0.98,3,0.65,3,-0.3502080078985371,0.3,-0.00454445728517463,0.12525852224714595
0.98,5,0.3,3,-0.22789940348776902,4.8,-0.005437872089946512,0.13115746812900478
0.98,5,0.47,3,-0.34920158007332125,0.1,0.0015177931054906493,0.13183340418524517
0.98,5,0.65,3,-0.3502080078985371,0.4,0.007516758530180959,0.13053246814731556
0.98,6.8,0.3,3,-0.22789940348776902,3.5,0.007128969918567714,0.13224589268061224
0.98,6.8,0.47,3,-0.34920158007332125,0,-0.004477595872068973,0.12599999750078383
0.98,6.8,0.65,3,-0.3502080078985371,0.2,0.0018395855315734965,0.13016684792938193
0.98,8,0.3,3,-0.22789940348776902,3.9,0.005080230079060121,0.13450722248863856
0.98,8,0.47,3,-0.34920158007332125,0,0.0019532458164129756,0.128936605337705
0.98,8,0.65,3,-0.3502080078985371,0.5,-0.003985714108859024,0.1332871205439425
0.8,3,0.3,4,-0.17582749801267833,8.5,0.0011985580069966166,0.1347705609992752
0.8,3,0.47,4,-0.2592114875032303,0.9,-0.003241066508715222,0.12795530113049933
0.8,3,0.65,4,-0.28346768674800826,0.8,-0.0009852708228232654,0.12916664308339906
0.8,5,0.3,4,-0.17582749801267833,6,0.003750154732902874,0.1307560143788307
0.8,5,0.47,4,-0.2592114875032303,1.4,0.0006846757894949444,0.13579008489225494
0.8,5,0.65,4,-0.28346768674800826,0.5,0.004185023771618028,0.12626657788580234
0.8,6.8,0.3,4,-0.17582749801267833,8,-0.0052929420832727465,0.12547825944471672
