semilla,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.402542372881356,1,4.330675701139519,0,3.0765691993492763,4.342111861467718,6.853798070018152,65.12121809855583,0.9084732282065779,0.001576970216871597,0.06654639048221453,0.002105197896509217,0.002105197896509217,0.07855140909086916,94,0.32253528797057324,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.43135593220339,0.9182958340544896,4.298510615947802,0,3.086092208014689,4.211683303576931,7.121844159626971,40.1968986575536,0.9252756822383001,0.0018641047768812185,0.06454879442339524,0.001179326939138567,0.001179326939138567,0.07875776940397922,71,0.3253276020082511,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.4601694915254235,0.9901592635041827,4.337240652859745,0,3.052752127525596,4.212921320399386,7.221510948823945,44.729876707840035,0.921678198515382,0.0017670198480798612,0.061003952990933835,0.0018023751663982096,0.0018023751663982096,0.07730375202046702,81,0.32831798795739026,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.4889830508474575,0.8485481782946158,4.265274626267481,0,3.124093341440207,4.329744290346571,7.476893708326298,42.01976303696285,0.9382659950965808,0.0019221499788089197,0.05919067368330369,0.0010604325807044707,0.0010604325807044707,0.07888177297869703,72,0.3313270093038099,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.5177966101694915,0.9949848281859701,4.364283257008383,0,3.082754625265751,4.111738553426397,7.631905131545586,60.663425070523424,0.9431140070350135,0.0014805373899660296,0.05639661808094636,0.00146813427925091,0.00146813427925091,0.07811459765885953,73,0.333554548129521,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.5466101694915255,0.8485481782946158,4.315708176586921,0,3.06421435019096,4.283392972296269,7.86560996625397,52.681282841490315,0.9587069536227116,0.0016676990400108233,0.054551065569092554,0.001512178329557981,0.001512178329557981,0.07722609058488161,78,0.33555308429123093,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.5754237288135593,0.8912402011913028,4.385709665282944,0,3.0660929061145548,4.3948927171237235,7.997986441231693,49.91877325330525,0.9626638969697928,0.0018373057446944543,0.05209471533610765,0.0007060863714250104,0.0007060863714250104,0.07734402650874106,58,0.33953627568383904,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.604237288135593,0.9837082626231859,4.2843106072708945,0,3.0962753377201175,4.141519735777441,8.181429186079312,48.97941227345666,0.9741821621855193,0.0016887986126126826,0.05003978858504692,0.0014795972531711638,0.0014795972531711638,0.07821352855791341,73,0.3416812552725975,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.633050847457627,0.9798687566511528,4.32780749819823,0,3.184604523633592,4.3496068483211126,8.345103196924807,50.889708852893826,0.984436630457534,0.0016145310921876627,0.04780841982156796,0.0009648160618458343,0.0009648160618458343,0.0786935840547085,67,0.34358457567356365,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.661864406779661,0.99819587904281,4.2647996321494634,0,3.1490933760855087,4.467371225428973,8.485302572811339,63.72883375142762,0.9904671549197933,0.00147018924837033,0.045747846607741706,0.0009217320968214621,0.0009217320968214621,0.0781788600222208,70,0.34610840105635704,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.6906779661016949,0.7049450065963295,4.319537403832406,0,3.086149736965567,3.9921203504751706,8.63783200891431,60.08566741148262,0.9916642648296862,0.0016039800721275056,0.043811273968895975,0.0008539112056972151,0.0008539112056972151,0.07817593475594187,56,0.3485104998640718,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.7194915254237289,0.7219280948873623,4.29454864216242,0,3.0233215765802743,4.002661447283408,8.817613800893671,51.49405488624917,0.9756186541133899,0.0015861170638488767,0.04218873745211835,0.0008950503351990435,0.0008950503351990435,0.07744111681333743,54,0.35123220372023245,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.7483050847457626,0.9798687566511528,4.326975285947316,0,3.0938467399250356,4.317777377529257,8.833567345166879,51.35242468883867,0.9749637386602981,0.0018232173600350719,0.03968193840488917,0.0010049847813320203,0.0010049847813320203,0.078203634040663,70,0.35356815616395226,banda<=ruido,0
1,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,1.7771186440677964,0.999799616411146,4.361430571737111,0,3.191657657313135,4.3861684564562955,8.938010596382336,43.534526226513385,0.9599823344412777,0.0018330456055531184,0.03784632015139066,0.0012579300147010225,0.0012579300147010225,0.07857321791048161,80,0.355118985625727,banda<=ruido,0
