t,z,vz,thrust,delta,A,e_R,lf
16.21,0.3167574516114779,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.22,0.31670983808830216,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.23,0.31666222456512644,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.240000000000002,0.3166146110419507,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.25,0.316566997518775,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.26,0.31651938399559926,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.27,0.31647177047242353,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.28,0.3164241569492478,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.29,0.3163765434260721,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.3,0.31632892990289635,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.31,0.3162813163797206,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.32,0.3162337028565449,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.330000000000002,0.31618608933336917,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.34,0.31613847581019344,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.35,0.3160908622870177,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.36,0.316043248763842,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.37,0.31599563524066626,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.38,0.31594802171749053,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.39,0.3159004081943148,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.4,0.3158527946711391,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.41,0.31580518114796335,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.42,0.3157575676247876,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.43,0.3157099541016119,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.44,0.3156623405784362,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.45,0.31561472705526045,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.46,0.3155671135320847,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.47,0.315519500008909,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.48,0.31547188648573327,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.490000000000002,0.31542427296255754,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.5,0.3153766594393818,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.51,0.3153290459162061,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
16.52,0.31528143239303036,-0.004761352317570992,11.772,0.0,1.0,-0.0,0.4114
