rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-batch4-r108,I,582305,5,0.681,0.128,5.83,6,0.329,0.5147187459306621,0.7071067798865477,5.306162435103467,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r68,I,478425,7,0.718,0.331,5.4,6,0.272,0.5151393082337679,0.9398511621266321,1.6694886552748358,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r216,I,592781,5,0.613,0.101,6.49,6,0.3,0.5175207179690287,0.2828427118746191,5.061933557447222,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r17,I,373478,5,0.79,0.243,6.14,6,0.218,0.519109953359425,0.5656854237492379,3.140978765455817,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch4-r4,I,572217,8,0.455,0.335,6.86,7,0.221,0.5212310066822438,0.6692130417902463,0.9180544345926901,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r115,I,482984,5,0.604,0.192,6.56,6,0.251,0.5238393492640737,0.14142135593730937,2.708170487622443,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r112,I,582693,6,0.389,0.215,7.1,6,0.151,0.5256262296021124,0.9899494915611667,1.5612987719687441,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r149,I,486282,6,0.389,0.114,6.19,6,0.293,0.52679362077894,0.631319303893945,1.654362380616033,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r2,I,572023,5,0.638,0.166,5.06,7,0.278,0.5304698681477237,0.42426406796192817,5.1572524473490144,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r207,I,591908,7,0.617,0.319,6.28,6,0.243,0.5338720885477396,0.14142135593730937,2.2687333624728154,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r140,I,585409,6,0.302,0.302,4.33,5,0.163,0.5338931863884604,1.234898465539484,1.9447131521677918,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r105,I,482014,5,0.412,0.177,6.41,6,0.327,0.5339161350028938,0.5656854238992377,1.967348308461732,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r121,I,583566,8,0.551,0.184,4.97,7,0.217,0.5339988964051053,0.42426406796192817,2.019640612191528,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r18,I,573575,5,0.364,0.321,6.05,6,0.325,0.5348611955256036,0.9899494915611664,1.6409366421090614,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-r4,I,372217,8,0.636,0.123,5.45,6,0.179,0.5356282559053122,0.5656854237492382,4.983216012836148,cs090_fase5b_candidatas_v2.csv,False
A2-B0-C2-batch3-r43,I,476000,4,0.303,0.135,6.98,6,0.294,0.5362857394737193,0.5656854237492382,3.098712661647696,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r101,I,581626,4,0.681,0.302,5.9,7,0.226,0.5374739801481624,0.9899494915611664,2.1208401774316954,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r150,I,586379,8,0.501,0.19,5.59,6,0.311,0.5384913007275851,0.527791685852937,2.9603115705489724,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-r13,I,373090,6,0.461,0.317,5.28,7,0.272,0.5390696970712208,0.989949491561166,1.1462216678613746,cs090_fase5b_candidatas_v2.csv,False
