rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio,fuente,paso_phantom
A2-B0-C2-r2,I,372023,5,0.517,0.323,5.74,6,0.281,0.5395267020843031,0.14142135593730937,1.8338645608752409,cs090_fase5b_candidatas_v2.csv,True
A2-B0-C2-batch4-r81,I,579686,5,0.481,0.199,4.16,6,0.347,0.5413401930568613,0.2828427120746192,2.01811744794448,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r141,I,485506,5,0.31,0.195,6.61,7,0.199,0.5422850469867411,0.7071067796865472,1.5210635960707222,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r130,I,584439,4,0.497,0.288,5.2,7,0.279,0.5435353513244137,0.8106343977275559,2.999422172255963,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r1,I,471926,7,0.531,0.171,5.85,6,0.254,0.5443072908377864,0.14142135608730938,2.4708879475171703,cs090_fase5b_candidatas_v3.csv,True
A2-B0-C2-batch4-r200,I,591229,7,0.521,0.154,4.73,7,0.241,0.5444155818409797,0.2828427118746191,1.659106258155531,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r103,I,481820,4,0.609,0.34,7.64,6,0.254,0.5456718771984358,0.7071067796865472,1.7142554933038112,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r3,I,572120,5,0.766,0.205,6.09,6,0.17,0.5490358470541344,0.3863703299156272,3.3851365371602062,cs090_fase5b_candidatas_v4.csv,True
A2-B0-C2-batch4-r142,I,585603,6,0.381,0.251,6.24,6,0.225,0.5499397106448336,0.4242640678119285,1.4730266003530668,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r34,I,475127,7,0.658,0.143,5.94,6,0.212,0.5509036575219144,0.2828427118746191,2.1446134904017367,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r71,I,578716,6,0.72,0.174,7.17,7,0.275,0.5524056253079764,1.5556349153104045,1.6242560502900072,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch4-r17,I,573478,4,0.735,0.128,7.15,7,0.172,0.5535046077461179,0.9520557536648651,3.7565285703419384,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r85,I,480074,6,0.402,0.265,5.58,7,0.315,0.5536805194294985,1.5556349153104039,0.9087037460986516,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r151,I,586476,8,0.398,0.208,4.64,7,0.334,0.5551917561297515,0.5656854237492379,1.4031917178968534,cs090_fase5b_candidatas_v4.csv,False
A2-B0-C2-batch3-r113,I,482790,6,0.306,0.284,7.11,6,0.291,0.5554576065377815,0.4242640678119285,1.6878288073986778,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-r9,I,272702,5,0.493,0.244,4.25,7,0.298,0.5562821419510406,1.18480013610495,1.9133033938338635,cs090_fase5_profundizar_a2b0c2_resumen.csv,True
A2-B0-C2-r8,I,272605,7,0.314,0.157,6.25,6,0.161,0.5566708815619307,0.2828427118746191,1.404743665909311,cs090_fase5_profundizar_a2b0c2_resumen.csv,False
A2-B0-C2-batch3-r14,I,473187,8,0.52,0.147,4.98,6,0.3,0.5568533853758011,0.14142135593730937,5.262433170697002,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch3-r6,I,472411,6,0.561,0.26,6.49,6,0.217,0.5587947564533653,0.42426406796192834,2.368997150775501,cs090_fase5b_candidatas_v3.csv,False
A2-B0-C2-batch4-r173,I,588610,8,0.516,0.165,7.89,6,0.325,0.5592019099723945,0.2449489739783178,2.9501322329076554,cs090_fase5b_candidatas_v4.csv,False
