genealogia,seed_base,rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,K,J,noise,meandeg,kcap,seed
G2_823001,823001,A2-B0-C2-r4,C2-hard,III,0.7831319388563914,1.4832013584228956,1.5468652260837215,3228,3.228,15.0,0.9525,7,0.371,0.2,5.97,5,823390
G2_823001,823001,A2-B0-C2-r4,C2-hibrido,I,0.6146766849910851,0.4242640678119288,2.3521169370007904,4078,4.078,11.0,0.9625,7,0.371,0.2,5.97,5,823390
G2_823001,823001,A2-B0-C2-r5,C2-hard,III,0.7729827615455738,1.5556349153104039,4.652201839141504,3366,3.366,15.0,0.9565,5,0.671,0.192,5.96,5,823487
G2_823001,823001,A2-B0-C2-r5,C2-hibrido,I,0.5965401696235229,0.2905784879900838,4.594909753626134,4266,4.266,11.0,0.9735,5,0.671,0.192,5.96,5,823487
G2_823001,823001,A2-B0-C2-r6,C2-hard,III,0.869270557711085,3.7046953966184533,1.4620922458537553,3315,3.315,16.0,0.9655,8,0.468,0.246,5.75,5,823584
G2_823001,823001,A2-B0-C2-r6,C2-hibrido,I,0.672179341186474,0.3863703299156276,1.8708857949319566,4054,4.054,12.0,0.972,8,0.468,0.246,5.75,5,823584
G2_823001,823001,A2-B0-C2-r7,C2-hard,III,0.9247717646099843,1.4537612975137892,1.193618113790743,3218,3.218,18.0,0.9645,5,0.424,0.168,4.51,5,823681
G2_823001,823001,A2-B0-C2-r7,C2-hibrido,I,0.592038227956441,0.7071067796865472,2.5210500945245484,4290,4.29,11.0,0.9845,5,0.424,0.168,4.51,5,823681
G2_823001,823001,A2-B0-C2-r8,C2-hard,II,0.4129019374387478,0.5656854237492382,3.313626726423956,4966,4.966,9.0,0.9935,4,0.536,0.181,6.67,7,823778
G2_823001,823001,A2-B0-C2-r8,C2-hibrido,I,0.2831736917416771,0.5656854237492382,3.1644236606318525,6461,6.461,7.0,0.9975,4,0.536,0.181,6.67,7,823778
G2_823001,823001,A2-B0-C2-r9,C2-hard,I,0.6021321903155455,0.631319303893945,0.8457394795664193,4254,4.254,13.0,0.988,7,0.401,0.318,4.87,7,823875
G2_823001,823001,A2-B0-C2-r9,C2-hibrido,II,0.40205531809417844,0.7071067796865476,0.9467806406478806,4604,4.604,9.0,0.985,7,0.401,0.318,4.87,7,823875
G2_823001,823001,A2-B0-C2-r10,C2-hard,III,0.7439049967398694,0.631319303893945,1.8056548013687934,3318,3.318,13.0,0.9555,5,0.452,0.141,5.92,5,823972
G2_823001,823001,A2-B0-C2-r10,C2-hibrido,I,0.6282770246355317,0.12416292638328252,4.934062641115205,4138,4.138,11.0,0.9695,5,0.452,0.141,5.92,5,823972
G2_823001,823001,A2-B0-C2-r11,C2-hard,I,-1.0146359490805636,2.474564330849785,3.292748004433192,2287,2.287,1.0,0.8345,5,0.514,0.179,6.95,4,824069
G2_823001,823001,A2-B0-C2-r11,C2-hibrido,I,-0.47296531124191354,0.7860746657484701,2.5228063076914693,2357,2.357,2.0,0.76,5,0.514,0.179,6.95,4,824069
G2_823001,823001,A2-B0-C2-r12,C2-hard,III,0.7954194731098331,0.7727406598312544,2.359311229028002,3342,3.342,15.0,0.9715,7,0.494,0.135,5.66,5,824166
G2_823001,823001,A2-B0-C2-r12,C2-hibrido,I,0.5386872666633493,0.4242640678119288,3.1692290223661312,4261,4.261,10.0,0.98,7,0.494,0.135,5.66,5,824166
G2_823001,823001,A2-B0-C2-r13,C2-hard,II,0.4160476452437719,0.2474873730215415,1.4080585435099586,4841,4.841,9.0,0.9895,6,0.475,0.121,6.88,7,824263
G2_823001,823001,A2-B0-C2-r13,C2-hibrido,I,0.2889802846008114,0.4242640678119285,1.464552889671983,6236,6.236,7.0,0.995,6,0.475,0.121,6.88,7,824263
G2_823001,823001,A2-B0-C2-r14,C2-hard,III,0.8163494784228883,1.1313708474984758,2.3474327327591036,3138,3.138,15.0,0.935,6,0.545,0.202,7.2,5,824360
G2_823001,823001,A2-B0-C2-r14,C2-hibrido,III,0.9968184985239791,0.5277916858529366,1.5553275122388024,3422,3.422,14.0,0.8875,6,0.545,0.202,7.2,5,824360
G2_823001,823001,A2-B0-C2-r15,C2-hard,III,0.7381990523097834,0.6363961017928927,1.9520213706102783,3164,3.164,15.0,0.9415,7,0.364,0.107,6.69,5,824457
G2_823001,823001,A2-B0-C2-r15,C2-hibrido,III,0.7683486833573839,0.6313193038939453,1.8341121670426226,3515,3.515,11.0,0.9035,7,0.364,0.107,6.69,5,824457
G2_823001,823001,A2-B0-C2-r16,C2-hard,I,0.48122926338048677,0.8485281356238573,1.97548113751473,4131,4.131,10.0,0.9805,5,0.496,0.325,6.99,6,824554
G2_823001,823001,A2-B0-C2-r16,C2-hibrido,I,0.48069126243584115,0.3535533899182736,1.4148150096507524,4953,4.953,9.0,0.9805,5,0.496,0.325,6.99,6,824554
G2_823001,823001,A2-B0-C2-r17,C2-hard,III,1.20476464767663,2.019446722013027,3.9718682272193044,2364,2.364,24.0,0.8615,6,0.686,0.111,6.78,4,824651
G2_823001,823001,A2-B0-C2-r17,C2-hibrido,III,1.422452828891682,0.5656854237492379,4.118107062268796,2509,2.509,19.0,0.8055,6,0.686,0.111,6.78,4,824651
G2_823001,823001,A2-B0-C2-r18,C2-hard,III,1.062144419823286,0.5807673292339086,1.9984443172584203,2423,2.423,21.0,0.8665,7,0.68,0.219,6.14,4,824748
