rule_id,seed,kcap,K,J,noise,meandeg,M,grado_medio,t_s
A2-B0-C2-f701-r1142,70811775,6,6,0.628,0.259,5.35,4013,4.013,1.33
A2-B0-C2-f701-r1143,70811872,6,8,0.375,0.346,6.52,4078,4.078,1.44
A2-B0-C2-f701-r1144,70811969,4,4,0.622,0.154,7.94,2175,2.175,1.37
A2-B0-C2-f701-r1145,70812066,6,5,0.547,0.326,7.01,4114,4.114,1.5
A2-B0-C2-f701-r1146,70812163,5,5,0.654,0.342,6.61,3248,3.248,1.39
A2-B0-C2-f701-r1147,70812260,5,8,0.325,0.346,7.79,2887,2.887,1.18
A2-B0-C2-f701-r1148,70812357,4,5,0.72,0.322,6.45,2391,2.391,1.11
A2-B0-C2-f701-r1149,70812454,6,5,0.595,0.135,5.39,4099,4.099,1.34
A2-B0-C2-f701-r1150,70812551,6,5,0.771,0.229,5.27,4123,4.123,1.35
A2-B0-C2-f701-r1151,70812648,7,7,0.317,0.15,6.42,4768,4.768,1.37
A2-B0-C2-f701-r1152,70812745,7,5,0.752,0.112,4.18,3906,3.906,1.3
A2-B0-C2-f701-r1153,70812842,6,5,0.619,0.274,7.53,4051,4.051,1.37
A2-B0-C2-f701-r1154,70812939,6,4,0.388,0.205,6.97,4159,4.159,1.4
A2-B0-C2-f701-r1155,70813036,5,8,0.769,0.136,5.9,3324,3.324,1.21
A2-B0-C2-f701-r1156,70813133,4,5,0.609,0.227,6.3,2417,2.417,1.51
A2-B0-C2-f701-r1157,70813230,4,5,0.756,0.276,4.97,2638,2.638,1.58
A2-B0-C2-f701-r1158,70813327,7,8,0.791,0.224,5.76,4742,4.742,1.96
A2-B0-C2-f701-r1159,70813424,5,6,0.314,0.183,6.59,3168,3.168,1.52
A2-B0-C2-f701-r1160,70813521,6,6,0.664,0.241,4.91,3924,3.924,1.31
A2-B0-C2-f701-r1161,70813618,6,5,0.769,0.217,4.35,3786,3.786,1.26
A2-B0-C2-f701-r1162,70813715,5,4,0.611,0.248,7.13,3226,3.226,1.32
A2-B0-C2-f701-r1163,70813812,6,7,0.687,0.208,5.21,4028,4.028,1.66
A2-B0-C2-f701-r1164,70813909,4,5,0.754,0.263,5.0,2627,2.627,1.57
A2-B0-C2-f701-r1165,70814006,5,4,0.749,0.149,4.88,3413,3.413,1.78
A2-B0-C2-f701-r1166,70814103,7,6,0.673,0.26,6.0,4750,4.75,1.59
A2-B0-C2-f701-r1167,70814200,5,7,0.537,0.283,4.41,3257,3.257,1.81
A2-B0-C2-f701-r1168,70814297,5,5,0.482,0.105,7.94,3007,3.007,1.32
A2-B0-C2-f701-r1169,70814394,6,7,0.553,0.162,4.64,3828,3.828,1.19
A2-B0-C2-f701-r1170,70814491,4,6,0.704,0.309,6.59,2336,2.336,1.24
A2-B0-C2-f701-r1171,70814588,5,7,0.31,0.127,5.77,3292,3.292,1.64
A2-B0-C2-f701-r1172,70814685,6,5,0.54,0.274,7.02,4079,4.079,1.91
A2-B0-C2-f701-r1173,70814782,4,4,0.579,0.302,4.61,2583,2.583,1.73
A2-B0-C2-f701-r1174,70814879,5,5,0.518,0.124,7.52,3113,3.113,1.49
A2-B0-C2-f701-r1175,70814976,7,5,0.614,0.24,5.73,4684,4.684,1.93
A2-B0-C2-f701-r1176,70815073,6,4,0.427,0.264,6.17,4188,4.188,1.48
