MU,N,S0,S_final_max,alpha,alpha_c_teorico,barrido,brazo,delta_struct,k_micro,lambda_max_G,lambda_puro,n_aristas,n_vivos_fin,persiste_puro,precision,semilla,sobrevive_finito,sobrevive_ge2,tau_final
0.01,8,1.0,9.971684721088886e-07,1.778279410038923e-05,0.044098249259232634,A_alpha,REAL,0.06271526130404256,1375,4.581138830084191,-0.010050898882559856,0,0,0,float64,10,0,0,183
0.01,8,1.0,9.960623965476784e-07,1.778279410038923e-05,0.050505050505050504,A_alpha,BARAJADO,0.05853813055259564,1375,4.0,-0.010050558138607512,0,0,0,float64,1,0,0,176
0.01,8,1.0,9.954880781078912e-07,1.778279410038923e-05,0.04576584235575484,A_alpha,BARAJADO,0.05868464091345116,1375,4.414213562373094,-0.010050964570597811,0,0,0,float64,2,0,0,177
0.01,8,1.0,9.959452212099847e-07,1.778279410038923e-05,0.04409824925923263,A_alpha,BARAJADO,0.0624283204562049,1375,4.581138830084192,-0.01005063904141402,0,0,0,float64,3,0,0,183
0.01,8,1.0,9.992362098686444e-07,1.778279410038923e-05,0.03858242537879851,A_alpha,BARAJADO,0.070879955337749,1375,5.236067977499788,-0.010048335290037342,0,0,0,float64,4,0,0,195
0.01,8,1.0,9.962894736841065e-07,1.778279410038923e-05,0.05449538250299351,A_alpha,BARAJADO,0.05604933518437195,1375,3.7071067811865483,-0.010050400958264247,0,0,0,float64,5,0,0,172
0.01,8,1.0,9.970722201599505e-07,1.778279410038923e-05,0.05449538250299351,A_alpha,BARAJADO,0.056280154134541835,1375,3.7071067811865483,-0.01004982618010248,0,0,0,float64,6,0,0,172
0.01,8,1.0,9.978814501295654e-07,1.778279410038923e-05,0.05449538250299351,A_alpha,BARAJADO,0.05660486289604053,1375,3.707106781186549,-0.010049327672904331,0,0,0,float64,7,0,0,173
0.01,8,1.0,9.952048995972674e-07,1.778279410038923e-05,0.03944689815669394,A_alpha,BARAJADO,0.06968159387976867,1375,5.121320343559643,-0.01005115988786937,0,0,0,float64,8,0,0,194
0.01,8,1.0,9.95688580258192e-07,1.778279410038923e-05,0.05449538250299353,A_alpha,BARAJADO,0.05572499227048877,1375,3.707106781186547,-0.010050845528866932,0,0,0,float64,9,0,0,171
0.01,8,1.0,9.955559446952623e-07,1.778279410038923e-05,0.044098249259232634,A_alpha,BARAJADO,0.06271471854658399,1375,4.581138830084191,-0.01005089946492864,0,0,0,float64,10,0,0,183
0.01,8,1.0,9.993824846369028e-07,3.1622776601683795e-05,0.050505050505050504,A_alpha,REAL,0.10409647483315454,1375,4.0,-0.010050726417266752,0,0,0,float64,1,0,0,234
0.01,8,1.0,9.972084907144016e-07,3.1622776601683795e-05,0.04576584235575484,A_alpha,REAL,0.10435235171868015,1375,4.414213562373094,-0.010051452257624507,0,0,0,float64,2,0,0,234
0.01,8,1.0,9.987408460406036e-07,3.1622776601683795e-05,0.04409824925923263,A_alpha,REAL,0.11101338205136413,1375,4.581138830084192,-0.01005087310209291,0,0,0,float64,3,0,0,240
0.01,8,1.0,9.949706176551768e-07,3.1622776601683795e-05,0.03858242537879851,A_alpha,REAL,0.1260698847361748,1376,5.236067977499788,-0.010046767523923049,0,0,0,float64,4,0,0,253
0.01,8,1.0,9.90018183267405e-07,3.1622776601683795e-05,0.05449538250299351,A_alpha,REAL,0.09967309677647297,1376,3.7071067811865483,-0.01005044682489918,0,0,0,float64,5,0,0,229
0.01,8,1.0,9.91802269711518e-07,3.1622776601683795e-05,0.05449538250299351,A_alpha,REAL,0.1000847932877009,1376,3.7071067811865483,-0.01004942281287648,0,0,0,float64,6,0,0,230
0.01,8,1.0,9.930676731406884e-07,3.1622776601683795e-05,0.05449538250299351,A_alpha,REAL,0.10066828233758601,1376,3.707106781186549,-0.01004853524923886,0,0,0,float64,7,0,0,230
0.01,8,1.0,9.956748590842925e-07,3.1622776601683795e-05,0.03944689815669394,A_alpha,REAL,0.12390511181339248,1375,5.121320343559643,-0.010051800785195473,0,0,0,float64,8,0,0,251
0.01,8,1.0,9.97843597829444e-07,3.1622776601683795e-05,0.05449538250299353,A_alpha,REAL,0.09909072899857649,1375,3.707106781186547,-0.010051239910294354,0,0,0,float64,9,0,0,229
0.01,8,1.0,9.978422174649374e-07,3.1622776601683795e-05,0.044098249259232634,A_alpha,REAL,0.11152116413069271,1375,4.581138830084191,-0.01005133626965262,0,0,0,float64,10,0,0,240
0.01,8,1.0,9.958731551179428e-07,3.1622776601683795e-05,0.050505050505050504,A_alpha,BARAJADO,0.10409537649170092,1375,4.0,-0.010050731138777358,0,0,0,float64,1,0,0,234
0.01,8,1.0,9.948522930259762e-07,3.1622776601683795e-05,0.04576584235575484,A_alpha,BARAJADO,0.10435263383051667,1375,4.414213562373094,-0.010051453888696563,0,0,0,float64,2,0,0,234
0.01,8,1.0,9.956648461223476e-07,3.1622776601683795e-05,0.04409824925923263,A_alpha,BARAJADO,0.11101240093632743,1375,4.581138830084192,-0.010050875006234259,0,0,0,float64,3,0,0,240
0.01,8,1.0,9.915138419032851e-07,3.1622776601683795e-05,0.03858242537879851,A_alpha,BARAJADO,0.1260638071376221,1376,5.236067977499788,-0.010046778293902152,0,0,0,float64,4,0,0,253
0.01,8,1.0,9.96276925763863e-07,3.1622776601683795e-05,0.05449538250299351,A_alpha,BARAJADO,0.09967087661846566,1375,3.7071067811865483,-0.010050451626597639,0,0,0,float64,5,0,0,229
0.01,8,1.0,9.976692460184516e-07,3.1622776601683795e-05,0.05449538250299351,A_alpha,BARAJADO,0.10008577431712552,1375,3.7071067811865483,-0.010049429514836491,0,0,0,float64,6,0,0,230
0.01,8,1.0,9.991094551271568e-07,3.1622776601683795e-05,0.05449538250299351,A_alpha,BARAJADO,0.10066709437342378,1375,3.707106781186549,-0.01004854302701795,0,0,0,float64,7,0,0,230
