point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
47,0.6,grado,7,d2,0,0,1,4,0.997,1
47,0.6,grado,7,d3,0,0,1,3,1.0,1
47,0.6,grado,7,d4,0,0,1,3,1.0,1
47,0.6,grado,7,curv,0,0,1,4,0.994,1
53,0.6,null,3,d1,0,0,0,3,0.168,1
53,0.6,null,3,d2,0,0,1,4,0.979,1
53,0.6,null,3,d3,0,0,1,4,0.997,1
53,0.6,null,3,d4,0,0,1,4,0.996,1
53,0.6,null,3,curv,0,0,1,4,0.989,1
49,0.6,grado,9,d1,0,0,0,4,0.152,1
49,0.6,grado,9,d2,0,0,1,4,0.983,1
49,0.6,grado,9,d3,0,0,1,3,1.0,1
49,0.6,grado,9,d4,0,0,1,3,1.0,1
49,0.6,grado,9,curv,0,0,1,3,0.989,1
50,0.6,null,0,d1,0,0,0,2,0.223,1
50,0.6,null,0,d2,0,0,1,5,0.983,1
50,0.6,null,0,d3,0,0,1,4,0.997,1
50,0.6,null,0,d4,0,0,1,3,1.0,1
50,0.6,null,0,curv,0,0,1,5,0.972,1
52,0.6,null,2,d1,0,0,0,4,0.109,1
52,0.6,null,2,d2,0,0,1,4,0.972,1
52,0.6,null,2,d3,0,0,1,4,1.0,1
52,0.6,null,2,d4,0,0,1,3,1.0,1
52,0.6,null,2,curv,0,0,1,4,0.989,1
55,0.6,null,5,d1,0,0,0,5,0.117,1
55,0.6,null,5,d2,0,0,1,5,0.983,1
55,0.6,null,5,d3,0,0,1,3,0.991,1
55,0.6,null,5,d4,0,0,1,3,1.0,1
55,0.6,null,5,curv,0,0,1,5,0.981,1
51,0.6,null,1,d1,0,0,0,2,0.152,1
51,0.6,null,1,d2,0,0,1,6,0.979,1
51,0.6,null,1,d3,0,0,1,4,0.997,1
51,0.6,null,1,d4,0,0,1,5,1.0,1
51,0.6,null,1,curv,0,0,1,4,0.992,1
54,0.6,null,4,d1,0,0,0,1,0.148,1
54,0.6,null,4,d2,0,0,1,4,0.976,1
54,0.6,null,4,d3,0,0,1,4,0.997,1
54,0.6,null,4,d4,0,0,1,4,0.996,1
54,0.6,null,4,curv,0,0,1,4,0.981,1
56,0.6,null,6,d1,0,0,0,1,0.18,1
56,0.6,null,6,d2,0,0,1,5,0.99,1
56,0.6,null,6,d3,0,0,1,4,0.997,1
56,0.6,null,6,d4,0,0,1,3,1.0,1
56,0.6,null,6,curv,0,0,1,4,0.989,1
57,0.6,null,7,d1,0,0,0,2,0.125,1
57,0.6,null,7,d2,0,0,1,5,0.976,1
57,0.6,null,7,d3,0,0,1,4,0.997,1
57,0.6,null,7,d4,0,0,1,4,1.0,1
57,0.6,null,7,curv,0,0,1,5,0.989,1
58,0.6,null,8,d1,0,0,0,5,0.188,1
58,0.6,null,8,d2,0,0,1,4,0.979,1
58,0.6,null,8,d3,0,0,1,4,0.994,1
58,0.6,null,8,d4,0,0,1,4,1.0,1
58,0.6,null,8,curv,0,0,1,4,0.989,1
59,0.6,null,9,d1,0,0,0,1,0.168,1
59,0.6,null,9,d2,0,0,1,6,0.976,1
59,0.6,null,9,d3,0,0,1,3,0.994,1
59,0.6,null,9,d4,0,0,1,4,1.0,1
59,0.6,null,9,curv,0,0,1,5,0.989,1
62,1.0,masa,2,d1,0,0,0,2,0.184,1
62,1.0,masa,2,d2,0,0,1,4,0.993,1
62,1.0,masa,2,d3,0,0,1,3,1.0,1
62,1.0,masa,2,d4,0,0,1,2,1.0,1
62,1.0,masa,2,curv,0,0,1,2,0.986,1
