patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
28,66184,1500,local_barajado,6,8,3.366,0.054,1,5.45,1,1.167,0.914,15.219,0.086,5,20
28,66184,1500,local_marco_congelado,6,8,3.689,0.035,0,7.959,0,1.102,0.912,15.581,0.353,8,20
29,66187,1500,local,6,8,3.086,0.041,2,5.989,1,1.0,0.911,15.544,0.3545,8,20
29,66187,1500,sin_local,-1,8,4.974,0.052,1,4.639,1,1.005,0.907,53.053,0.0937,3,17
29,66187,1500,local_barajado,6,8,3.248,0.055,1,4.289,1,0.94,0.907,14.968,0.0914,6,20
29,66187,1500,local_marco_congelado,6,8,2.66,0.04,0,7.949,0,1.078,0.923,15.789,0.3465,8,20
30,66190,1500,local,6,8,3.301,0.039,1,5.875,1,0.908,0.929,15.877,0.3433,7,20
30,66190,1500,sin_local,-1,8,4.976,0.051,1,5.112,1,1.0,0.893,50.427,0.0912,3,17
30,66190,1500,local_barajado,6,8,3.316,0.052,1,4.566,1,1.037,0.909,15.056,0.0942,5,20
30,66190,1500,local_marco_congelado,6,8,4.055,0.018,0,7.962,0,0.957,0.917,15.808,0.3566,6,20
31,66193,1500,local,6,8,3.946,0.023,1,4.513,1,0.857,0.913,15.739,0.3427,7,20
31,66193,1500,sin_local,-1,8,nan,0.048,1,3.088,1,0.623,0.915,52.109,0.0932,4,17
31,66193,1500,local_barajado,6,8,3.322,0.055,2,4.45,1,1.106,0.914,15.037,0.0829,5,20
31,66193,1500,local_marco_congelado,6,8,3.145,0.037,0,7.963,0,1.101,0.907,15.325,0.3336,7,20
33,66199,1500,local,6,8,3.441,0.037,1,5.26,1,0.819,0.911,15.595,0.3432,6,20
33,66199,1500,sin_local,-1,8,4.851,0.048,1,4.485,1,1.005,0.906,50.419,0.1029,3,17
33,66199,1500,local_barajado,6,8,3.242,0.052,1,4.701,1,1.11,0.927,15.395,0.0913,5,20
33,66199,1500,local_marco_congelado,6,8,3.636,0.028,0,7.96,0,0.927,0.911,15.677,0.3568,8,20
32,66196,1500,local,6,8,3.356,0.038,2,5.722,1,0.994,0.911,15.576,0.3759,7,20
32,66196,1500,sin_local,-1,8,5.123,0.05,1,3.558,1,1.1,0.915,51.947,0.0928,4,17
32,66196,1500,local_barajado,6,8,3.342,0.054,2,5.8,1,1.196,0.917,15.173,0.1008,5,20
32,66196,1500,local_marco_congelado,6,8,3.717,0.032,0,7.947,0,1.01,0.919,15.968,0.3474,8,20
35,66205,1500,local,6,8,3.715,0.03,1,5.952,1,0.844,0.889,14.963,0.3536,7,20
35,66205,1500,sin_local,-1,8,4.643,0.055,1,4.735,1,0.96,0.903,51.013,0.0879,3,17
35,66205,1500,local_barajado,6,8,3.297,0.055,1,5.151,1,1.159,0.906,14.909,0.0872,5,20
35,66205,1500,local_marco_congelado,6,8,3.354,0.04,0,7.958,0,1.036,0.926,15.696,0.3472,9,20
34,66202,1500,local,6,8,3.965,0.027,2,5.623,1,0.789,0.921,15.819,0.3444,7,20
34,66202,1500,sin_local,-1,8,nan,0.043,2,4.563,1,0.864,0.911,51.869,0.091,3,17
