genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H12_2571043,2571043,A2-B0-C2-r7,C2-hard,III,1,1,0.965584,1.3763,2.4857,16.0,0.914,3.075,3075,16|10|8|5|4,6,0.58,0.136,7.74,5,2571723,3.75
H12_2571043,2571043,A2-B0-C2-r7,C2-hibrido,III,1,1,0.944619,0.5657,2.2559,13.0,0.8525,3.284,3284,13|9|6|5|4,6,0.58,0.136,7.74,5,2571723,3.92
H12_2571043,2571043,A2-B0-C2-r8,C2-hard,III,1,1,0.862183,1.4091,1.1355,14.0,0.875,2.883,2883,14|9|7|6|4,5,0.334,0.337,7.98,5,2571820,3.3
H12_2571043,2571043,A2-B0-C2-r8,C2-hibrido,III,1,1,1.150466,0.6718,1.5449,15.0,0.8415,3.135,3135,15|11|7|5|4,5,0.334,0.337,7.98,5,2571820,3.49
H12_2571043,2571043,A2-B0-C2-r9,C2-hard,III,1,1,1.018362,0.9777,1.5233,23.0,0.9235,2.6,2600,23|15|9|6|5,5,0.372,0.248,4.6,4,2571917,3.53
H12_2571043,2571043,A2-B0-C2-r9,C2-hibrido,III,1,1,0.795124,0.1069,0.9417,14.0,0.951,3.267,3267,14|9|8|5|4,5,0.372,0.248,4.6,4,2571917,3.14
H12_2571043,2571043,A2-B0-C2-r10,C2-hard,III,1,1,1.168237,0.8252,1.8416,19.0,0.788,2.111,2111,19|15|10|7|5,8,0.328,0.271,7.69,4,2572014,2.96
H12_2571043,2571043,A2-B0-C2-r10,C2-hibrido,III,1,1,1.277316,1.8354,1.4502,17.0,0.733,2.22,2220,17|12|9|6|5,8,0.328,0.271,7.69,4,2572014,2.83
H12_2571043,2571043,A2-B0-C2-r11,C2-hard,II,0,0,0.411994,0.4243,1.9501,9.0,0.992,4.841,4841,9|7|5|5|4,6,0.339,0.128,7.07,7,2572111,3.45
H12_2571043,2571043,A2-B0-C2-r11,C2-hibrido,II,0,0,0.387366,0.3864,1.6624,8.0,0.997,6.246,6246,8|6|4|4|4,6,0.339,0.128,7.07,7,2572111,3.91
H12_2571043,2571043,A2-B0-C2-r12,C2-hard,I,0,0,0.591934,1.0935,2.941,11.0,0.992,4.119,4119,11|9|6|5|4,7,0.392,0.186,4.59,7,2572208,3.57
H12_2571043,2571043,A2-B0-C2-r12,C2-hibrido,I,0,0,0.542118,1.2728,2.2561,11.0,0.993,4.421,4421,11|7|6|5|4,7,0.392,0.186,4.59,7,2572208,3.59
H12_2571043,2571043,A2-B0-C2-r13,C2-hard,I,0,0,0.611721,0.3536,3.2158,13.0,0.9855,4.001,4001,13|7|6|5|4,4,0.586,0.171,4.96,6,2572305,3.63
H12_2571043,2571043,A2-B0-C2-r13,C2-hibrido,I,0,0,0.465906,0.8485,2.3913,10.0,0.9915,4.889,4889,10|6|6|5|4,4,0.586,0.171,4.96,6,2572305,3.43
H12_2571043,2571043,A2-B0-C2-r14,C2-hard,I,0,0,0.656649,0.5657,1.7613,12.0,0.973,3.527,3527,12|9|6|5|4,6,0.664,0.311,4.0,6,2572402,3.04
H12_2571043,2571043,A2-B0-C2-r14,C2-hibrido,I,0,0,0.577971,0.0,1.2656,11.0,0.978,3.896,3896,11|7|6|5|4,6,0.664,0.311,4.0,6,2572402,3.07
H12_2571043,2571043,A2-B0-C2-r15,C2-hard,I,0,0,0.559046,0.9899,1.2159,12.0,0.9885,4.02,4020,12|7|6|5|4,7,0.5,0.16,5.23,6,2572499,3.49
H12_2571043,2571043,A2-B0-C2-r15,C2-hibrido,I,0,0,0.506311,1.2728,1.5417,10.0,0.9945,4.999,4999,10|6|5|4|4,7,0.5,0.16,5.23,6,2572499,3.64
H12_2571043,2571043,A2-B0-C2-r16,C2-hard,III,1,1,0.726892,0.7307,2.1255,13.0,0.9615,3.257,3257,13|9|6|5|4,6,0.424,0.315,4.92,5,2572596,3.23
H12_2571043,2571043,A2-B0-C2-r16,C2-hibrido,I,0,0,0.564059,0.4243,1.3317,10.0,0.9815,4.505,4505,10|7|5|4|4,6,0.424,0.315,4.92,5,2572596,3.29
H12_2571043,2571043,A2-B0-C2-r17,C2-hard,I,0,0,0.525107,0.4243,1.4797,10.0,0.9735,4.039,4039,10|8|6|5|4,7,0.386,0.191,7.2,6,2572693,3.58
H12_2571043,2571043,A2-B0-C2-r17,C2-hibrido,I,0,0,0.509229,0.8485,1.5823,9.0,0.9715,4.799,4799,9|8|6|5|4,7,0.386,0.191,7.2,6,2572693,3.86
H12_2571043,2571043,A2-B0-C2-r18,C2-hard,I,0,0,0.498285,0.7071,3.9194,10.0,0.99,4.151,4151,10|8|6|5|4,5,0.64,0.203,6.01,6,2572790,3.23
H12_2571043,2571043,A2-B0-C2-r18,C2-hibrido,I,0,0,0.526001,0.0,2.5385,8.0,0.997,5.732,5732,8|7|5|4|3,5,0.64,0.203,6.01,6,2572790,3.66
H12_2571043,2571043,A2-B0-C2-r19,C2-hard,III,1,1,1.076012,0.9675,2.5611,19.0,0.835,2.326,2326,19|12|8|6|5,6,0.705,0.286,6.85,4,2572887,2.9
H12_2571043,2571043,A2-B0-C2-r19,C2-hibrido,III,1,1,0.923623,1.1314,2.6307,13.0,0.8075,2.526,2526,13|9|8|5|5,6,0.705,0.286,6.85,4,2572887,2.91
H17_3948071,3948071,A2-B0-C2-r0,C2-hard,I,0,0,0.65883,0.0,1.8323,14.0,0.9685,3.336,3336,14|9|6|5|5,5,0.777,0.32,4.73,5,3948072,3.18
H17_3948071,3948071,A2-B0-C2-r0,C2-hibrido,I,0,0,0.627042,1.1591,1.8482,12.0,0.988,4.585,4585,12|8|6|5|4,5,0.777,0.32,4.73,5,3948072,3.88
H17_3948071,3948071,A2-B0-C2-r1,C2-hard,I,0,0,0.519436,0.1414,1.6313,11.0,0.986,4.133,4133,11|7|6|5|4,7,0.656,0.303,6.15,6,3948169,3.17
H17_3948071,3948071,A2-B0-C2-r1,C2-hibrido,II,0,0,0.439389,0.9899,1.5192,8.0,0.997,5.791,5791,8|6|5|3|4,7,0.656,0.303,6.15,6,3948169,3.47
H17_3948071,3948071,A2-B0-C2-r2,C2-hard,I,0,0,0.474622,0.5657,1.6129,10.0,0.984,4.093,4093,10|7|6|5|4,4,0.424,0.325,6.0,6,3948266,3.85
H17_3948071,3948071,A2-B0-C2-r2,C2-hibrido,I,0,0,0.557621,0.2828,1.2259,9.0,0.9955,5.608,5608,9|6|5|4|3,4,0.424,0.325,6.0,6,3948266,4.05
H17_3948071,3948071,A2-B0-C2-r3,C2-hard,III,1,1,0.737174,1.1314,1.1737,15.0,0.964,3.213,3213,15|11|7|5|5,7,0.599,0.298,4.38,5,3948363,3.43
H17_3948071,3948071,A2-B0-C2-r3,C2-hibrido,I,0,0,0.560642,0.1949,1.9253,11.0,0.9845,4.199,4199,11|7|6|5|4,7,0.599,0.298,4.38,5,3948363,4.34
H17_3948071,3948071,A2-B0-C2-r4,C2-hard,I,0,0,0.503635,0.4243,2.0101,10.0,0.983,4.189,4189,10|8|6|5|4,8,0.687,0.28,6.25,6,3948460,3.5
H17_3948071,3948071,A2-B0-C2-r4,C2-hibrido,I,0,0,0.323768,0.3536,2.3014,7.0,0.9975,5.972,5972,7|6|5|4|4,8,0.687,0.28,6.25,6,3948460,4.16
H17_3948071,3948071,A2-B0-C2-r5,C2-hard,III,1,1,0.839513,1.2728,2.1645,13.0,0.9055,3.054,3054,13|9|7|5|4,7,0.537,0.208,7.84,5,3948557,3.27
H17_3948071,3948071,A2-B0-C2-r5,C2-hibrido,III,1,1,0.925285,1.9799,2.0012,13.0,0.852,3.189,3189,13|8|7|5|4,7,0.537,0.208,7.84,5,3948557,3.52
H17_3948071,3948071,A2-B0-C2-r6,C2-hard,I,0,0,0.575544,0.1414,1.8932,11.0,0.9805,4.071,4071,11|9|6|5|4,6,0.697,0.26,6.62,6,3948654,3.66
H17_3948071,3948071,A2-B0-C2-r6,C2-hibrido,II,0,0,0.442551,0.4243,1.9657,9.0,0.989,5.151,5151,9|7|5|5|4,6,0.697,0.26,6.62,6,3948654,4.37
