rule_id,seed,lote,K,kcap,escalon,n_aristas,clustering,transitividad,n_triangulos,gigante,asortatividad,n_componentes,solapamiento_aristas,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,carpeta
A2-B0-C2-r28,374545,371828,6,6,e0,3947,0.0,0.0,0,1951,-0.25116364549598386,1,0.002533569799847986,0.5380839152929832,0.07850000000000003,0.48888888888888876,8,0.046,1475.7999999999997,cosmog_00500,A2-B0-C2-r28_s374545_f702_e0
A2-B0-C2-r28,374545,371828,6,6,e1,3947,0.0368,0.026588801099278598,129,1951,-0.23035338798433996,1,0.002786926779832784,0.5438476204188192,0.08350000000000003,0.3818181818181818,8,0.045,1569.8,cosmog_00500,A2-B0-C2-r28_s374545_f702_e1
A2-B0-C2-r28,374545,371828,6,6,e2,3947,0.11835,0.08388869804191,407,1949,-0.1738684033098776,2,0.00354699771978718,0.5750659217582536,0.08500000000000002,0.4360465116279071,8,0.049,1597.9999999999998,cosmog_00500,A2-B0-C2-r28_s374545_f702_e2
A2-B0-C2-r28,374545,371828,6,6,e3,3947,0.2730666666666667,0.2087942287873583,1013,1943,-0.1081816040894503,5,0.003040283759817583,0.5743468778280417,0.10500000000000004,0.532258064516129,9,0.036,1974.0,cosmog_00500,A2-B0-C2-r28_s374545_f702_e3
A2-B0-C2-r28,374545,371828,6,6,e4,3947,0.5202666666666667,0.4629336997595328,2246,1913,-0.03952191093878806,14,0.003040283759817583,0.6923280683603735,0.13699999999999998,1.1666666666666665,8,0.031,2575.6000000000004,cosmog_00500,A2-B0-C2-r28_s374545_f702_e4
A2-B0-C2-r28,374545,371828,6,6,orig,3947,0.010516666666666665,0.0076262452765372725,37,1947,0.07231552738909473,3,1.0,0.6864755601172486,0.08950000000000002,0.4285714285714286,8,0.04,1682.6000000000001,cosmog_00500,A2-B0-C2-r28_s374545_f702_orig
A2-B0-C2-r39,375612,371828,5,6,e0,4083,0.0,0.0,0,1968,-0.10150960852296709,2,0.003428851334802841,0.5868600595698912,0.07650000000000003,0.36734693877551017,8,0.049,1438.2000000000003,cosmog_00500,A2-B0-C2-r39_s375612_f702_e0
A2-B0-C2-r39,375612,371828,5,6,e1,4083,0.05091666666666667,0.03232630395980697,163,1968,-0.08610794403234132,2,0.0036737692872887582,0.5264612195847894,0.07850000000000003,0.3962264150943396,8,0.044,1475.8,cosmog_00500,A2-B0-C2-r39_s375612_f702_e1
A2-B0-C2-r39,375612,371828,5,6,e2,4083,0.14293333333333333,0.1013419713095789,511,1968,-0.06780030510952198,2,0.003428851334802841,0.5575636036493259,0.08150000000000003,0.3584905660377358,8,0.041,1532.1999999999998,cosmog_00500,A2-B0-C2-r39_s375612_f702_e2
A2-B0-C2-r39,375612,371828,5,6,e3,4083,0.3369,0.2522641634164077,1272,1968,-0.04745848408416717,2,0.00440852314474651,0.5648066641858083,0.10000000000000003,0.5806451612903226,8,0.036,1880.0,cosmog_00500,A2-B0-C2-r39_s375612_f702_e3
A2-B0-C2-r39,375612,371828,5,6,e4,4083,0.6049666666666667,0.5396311231572685,2721,1909,-0.012150894733015647,16,0.0029390154298310064,0.7322190315972629,0.143,1.2009132420091322,8,0.029,2688.3999999999996,cosmog_00500,A2-B0-C2-r39_s375612_f702_e4
A2-B0-C2-r39,375612,371828,5,6,orig,4083,0.0032333333333333333,0.003966417663779996,20,1966,0.09231888610434247,3,1.0,0.7408037939170649,0.07850000000000001,0.47222222222222177,8,0.045,1475.8000000000002,cosmog_00500,A2-B0-C2-r39_s375612_f702_orig
