cfg_id,q,gigante_real,ncomp_real,gigante_null,ncomp_null
FASE07,0.7,0.821257302293138,344,0.9807306652716017,133
FASE07,0.75,0.8607584635416666,254,0.9932454427083334,63
FASE07,0.8,0.9738307774471656,180,0.998092622262913,23
FASE07,0.85,0.9876490018670113,109,0.9993537268418785,8
FASE07,0.9,0.992675483214649,62,0.999796541200407,4
FASE07,0.95,0.9985222307890003,18,1.0,1
FASE08,0.05,0.13414634146341464,309,0.006097560975609756,720
FASE08,0.1,0.13605857230018303,391,0.004270896888346553,1303
FASE08,0.15,0.18429617575264443,415,0.004475183075671277,1719
FASE08,0.2,0.27708269758925846,412,0.00366188587122368,1976
FASE08,0.25,0.43408203125,392,0.004638671875,2113
FASE08,0.3,0.4392675483214649,377,0.005289928789420142,2089
FASE08,0.35,0.4699215344376635,399,0.005754141238012205,1995
FASE08,0.4,0.48962465669819955,381,0.008086664632285627,1766
FASE08,0.45,0.48270717482707176,440,0.0132917401329174,1445
FASE08,0.5,0.72705078125,475,0.0166015625,1116
FASE08,0.55,0.7518588391965376,478,0.06092553545666408,748
FASE08,0.6,0.7415055951169888,437,0.3316378433367243,462
FASE08,0.65,0.744483050051648,358,0.9375528218612076,260
FASE08,0.7,0.7552532914813846,295,0.9772430028773215,133
FASE08,0.75,0.96435546875,220,0.9930826822916666,68
FASE08,0.8,0.9739833676661326,180,0.997787441824979,26
FASE08,0.85,0.9760878931495045,139,0.9997127674852794,5
FASE08,0.9,0.992472024415056,74,1.0,1
FASE08,0.95,0.9935749164739142,51,1.0,1
FASE09,0.05,0.004878048780487805,702,0.003658536585365854,740
FASE09,0.1,0.006711409395973154,1204,0.004881025015253203,1303
FASE09,0.15,0.00854353132628153,1565,0.0040683482506102524,1721
FASE09,0.2,0.01007018614586512,1746,0.004882514494964907,1980
FASE09,0.25,0.009521484375,1839,0.006103515625,2148
FASE09,0.3,0.011393692777212614,1845,0.006510681586978637,2165
FASE09,0.35,0.011159546643417612,1694,0.006277244986922406,2028
FASE09,0.4,0.01876716509002136,1499,0.00961245041196216,1771
FASE09,0.45,0.035263800352638,1244,0.014648040146480402,1457
FASE09,0.5,0.0411376953125,963,0.021484375,1140
