patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
36,74317,1500,subconjunto,nematico,4.725,0.053,0,7.96,0,0.886,0.913,3,16
39,80509,1500,completo,nematico,4.274,0.052,1,3.128,1,0.696,0.893,3,17
39,80509,1500,null_tipos,nematico,5.109,0.045,1,3.865,1,0.875,0.9,4,17
39,80509,1500,null_marco,nematico,4.928,0.046,0,7.96,0,0.883,0.917,3,17
39,80509,1500,null_mediado,nematico,4.841,0.049,1,2.839,1,0.714,0.913,3,17
39,80509,1500,subconjunto,nematico,4.921,0.055,0,7.968,0,0.895,0.904,3,16
37,76381,1500,completo,nematico,nan,0.05,1,3.35,1,1.0,0.917,4,17
37,76381,1500,null_tipos,nematico,4.953,0.055,1,3.553,1,0.882,0.91,3,17
37,76381,1500,null_marco,nematico,4.699,0.054,0,7.964,0,0.91,0.901,4,17
37,76381,1500,null_mediado,nematico,5.17,0.049,1,3.89,1,0.738,0.919,4,17
37,76381,1500,subconjunto,nematico,4.968,0.051,0,7.972,0,0.865,0.921,3,16
38,78445,1500,completo,nematico,5.03,0.052,3,5.124,1,0.885,0.921,3,17
38,78445,1500,null_tipos,nematico,nan,0.05,1,3.551,1,0.868,0.918,3,17
38,78445,1500,null_marco,nematico,4.997,0.05,0,7.971,0,0.981,0.906,3,17
38,78445,1500,null_mediado,nematico,5.108,0.043,1,4.819,1,0.983,0.903,3,17
38,78445,1500,subconjunto,nematico,4.771,0.058,0,7.946,0,1.062,0.918,4,16
40,82573,1500,completo,nematico,4.994,0.042,1,4.165,1,0.894,0.917,3,17
40,82573,1500,null_tipos,nematico,4.877,0.046,2,4.305,1,1.083,0.914,3,17
40,82573,1500,null_marco,nematico,nan,0.049,0,7.969,0,1.033,0.913,3,17
40,82573,1500,null_mediado,nematico,4.889,0.046,1,3.907,1,0.761,0.911,4,17
40,82573,1500,subconjunto,nematico,4.581,0.049,0,7.959,0,0.847,0.912,4,16
41,84637,1500,completo,nematico,4.947,0.047,1,3.156,1,0.799,0.909,4,17
