brazo,Dt,N,seed,fg,clu,ev,diam,dmean,d95,dgrow,ver
ARBOL,2,1024,8,0.580078125,0.001992753623188406,1.0,20,0.0,0.0,2.0626730155506197,AZAR(exp)
CICLOS,2,1024,8,0.5908203125,0.4405847953216374,1.3355371900826447,19,0.03188140928012996,0.5,1.9806359771554516,AZAR(exp)
AZAR,2,1024,8,0.6494140625,0.0,1.3355371900826447,25,0.9586760077165194,2.5,2.022480886452867,GEOMETRIA
ARBOL,2,4096,1,0.589111328125,0.0,1.0,25,0.0,0.0,2.5333103899711644,AZAR(exp)
CICLOS,2,4096,1,0.557373046875,0.4755868544600939,1.354796320630749,26,0.005955107650022904,0.0,2.4834840203070296,AZAR(exp)
AZAR,2,4096,1,0.608154296875,0.0,1.354796320630749,40,1.2290680511019494,3.5,2.3313120674347854,AZAR(exp)
ARBOL,2,4096,2,0.59033203125,0.0008818342151675485,1.0,27,0.0,0.0,2.463319144739993,AZAR(exp)
CICLOS,2,4096,2,0.57080078125,0.44175317185697804,1.3336184773310522,24,0.010366907206016872,0.0,2.398102023518842,AZAR(exp)
AZAR,2,4096,2,0.5869140625,0.0,1.3336184773310522,32,1.221821323305214,3.5,2.322477739916996,AZAR(exp)
ARBOL,2,4096,3,0.587158203125,0.0,1.0,26,0.0,0.0,2.4366972011825645,GEOMETRIA
CICLOS,2,4096,3,0.555908203125,0.46525821596244127,1.334211682037769,28,0.01157171922685656,0.0,2.3477876819506567,GEOMETRIA
AZAR,2,4096,3,0.57275390625,0.0,1.334211682037769,34,1.241912512716175,3.5,2.3049586840479135,AZAR(exp)
ARBOL,2,4096,4,0.58935546875,0.0,1.0,27,0.0,0.0,2.410993138440329,AZAR(exp)
CICLOS,2,4096,4,0.548095703125,0.4613095238095239,1.3487750556792872,26,0.01552495172273605,0.0,2.428884539818903,AZAR(exp)
AZAR,2,4096,4,0.5810546875,0.0,1.3487750556792872,37,1.3334942575464985,3.5,2.2948491825724036,AZAR(exp)
ARBOL,2,4096,5,0.5908203125,0.0,1.0,25,0.0,0.0,2.4704007563164385,AZAR(exp)
CICLOS,2,4096,5,0.568115234375,0.4552154195011337,1.3523850451224753,24,0.048765589208449985,0.5,2.412351679255906,AZAR(exp)
AZAR,2,4096,5,0.60693359375,0.0,1.3523850451224753,38,1.1683889030287604,3.0,2.3398479558647587,AZAR(exp)
ARBOL,2,4096,6,0.5859375,0.0,1.0,28,0.0,0.0,2.4322185833871757,AZAR(exp)
CICLOS,2,4096,6,0.546875,0.49186991869918706,1.3522321428571429,25,0.050360992475086436,0.5,2.4315883505863116,AZAR(exp)
AZAR,2,4096,6,0.553955078125,0.0,1.3522321428571429,37,1.1617856416514134,3.0,2.2850048109149053,AZAR(exp)
ARBOL,2,4096,7,0.590087890625,0.0,1.0,30,0.0,0.0,2.4669793714478456,AZAR(exp)
CICLOS,2,4096,7,0.556640625,0.44034440344403436,1.3543859649122807,27,0.021870862613300745,0.0,2.3408073867803982,AZAR(exp)
AZAR,2,4096,7,0.581787109375,0.0,1.3543859649122807,35,1.0771972705978206,3.0,2.4569986579587506,AZAR(exp)
ARBOL,2,4096,8,0.57666015625,0.0008726003490401395,1.0,26,0.0,0.0,2.492726606515654,AZAR(exp)
CICLOS,2,4096,8,0.56494140625,0.45706018518518515,1.3401037165082108,26,0.02172809422276373,0.0,2.441654470079447,AZAR(exp)
AZAR,2,4096,8,0.581787109375,0.0,1.3401037165082108,41,1.185018783632856,3.0,2.3568133138932073,AZAR(exp)
ARBOL,2,16384,1,0.5892333984375,0.0,1.0,31,0.0,0.0,2.889895537202454,AZAR(exp)
CICLOS,2,16384,1,0.55126953125,0.450354609929078,1.3393489813994686,35,0.003028452180994554,0.0,2.8134745813513087,AZAR(exp)
AZAR,2,16384,1,0.56536865234375,0.0,1.3393489813994686,41,1.4031913269201404,3.5,2.7205292659152644,AZAR(exp)
ARBOL,2,16384,2,0.5904541015625,0.0,1.0,31,0.0,0.0,2.943170671346919,AZAR(exp)
CICLOS,2,16384,2,0.5657958984375,0.5024647887323943,1.3345199568500539,31,0.010570179896330929,0.0,2.8029319615474133,AZAR(exp)
AZAR,2,16384,2,0.599853515625,0.0,1.3345199568500539,38,1.4358674662059152,4.0,2.72060409699384,AZAR(exp)
ARBOL,2,16384,3,0.586181640625,0.0,1.0,30,0.0,0.0,2.828246976392662,AZAR(exp)
CICLOS,2,16384,3,0.560302734375,0.4496527777777778,1.3212418300653594,35,0.008341810783316379,0.0,2.8039002125573216,AZAR(exp)
AZAR,2,16384,3,0.5760498046875,0.0,1.3212418300653594,49,1.4604781281790438,4.0,2.6755368666068704,AZAR(exp)
ARBOL,2,16384,4,0.5892333984375,0.0,1.0,31,0.0,0.0,2.8914387419234235,AZAR(exp)
CICLOS,2,16384,4,0.55389404296875,0.4931407942238268,1.340495867768595,32,0.019107632889521293,0.0,2.796011899639729,AZAR(exp)
AZAR,2,16384,4,0.5791015625,0.0,1.340495867768595,47,1.451468645187519,4.0,2.645207994921011,AZAR(exp)
ARBOL,2,16384,5,0.58477783203125,0.0,1.0,33,0.0,0.0,2.885830756931282,AZAR(exp)
CICLOS,2,16384,5,0.5543212890625,0.4342560553633218,1.336930191587756,28,0.059709849834563504,0.5,2.8222227356579688,AZAR(exp)
AZAR,2,16384,5,0.56878662109375,0.0,1.336930191587756,40,1.375286332400102,3.5,2.6778899876639763,AZAR(exp)
