combo,eje_A,eje_B,eje_C,rule_id,seed,K,J,noise,meandeg,sim_thr_frac,kcap,escala_b,N,diam_real_viejo,diam_real_corr,diam_null_viejo,diam_null_corr,diam_null_std_viejo,diam_null_std_corr,giant_real,holon_real,holon_null_valor,n_aristas,n_triangulos,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila,difiere_real,difiere_null
A0-B0-C1,A0,B0,C1,A0-B0-C1-r6,625583,6,0.592,0.331,6.9,0.278,5,2,1042,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.017307184103643,1.5096285538179088,15178,1500,1042,1042,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r6,625583,6,0.592,0.331,6.9,0.278,5,4,552,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,2.017307184103643,1.5096285538179088,14026,1500,552,552,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r6,625583,6,0.592,0.331,6.9,0.278,5,8,300,2.0,2.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,2.017307184103643,1.5096285538179088,11690,1500,300,300,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r6,625583,6,0.592,0.331,6.9,0.278,5,16,174,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,2.017307184103643,1.5096285538179088,7000,1500,174,174,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r7,625680,6,0.383,0.281,6.43,0.256,6,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.8766157555670184,1.4748773017777173,15279,1500,2000,2000,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r7,625680,6,0.383,0.281,6.43,0.256,6,2,1044,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.8766157555670184,1.4748773017777173,14140,1500,1044,1044,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r7,625680,6,0.383,0.281,6.43,0.256,6,4,560,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.8766157555670184,1.4748773017777173,13047,1500,560,560,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r7,625680,6,0.383,0.281,6.43,0.256,6,8,303,3.0,3.0,2.6666666666666665,2.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.8766157555670184,1.4748773017777173,10859,1500,303,303,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r7,625680,6,0.383,0.281,6.43,0.256,6,16,197,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.8766157555670184,1.4748773017777173,6673,1500,197,197,1,0,False,False,False
A0-B0-C1,A0,B0,C1,A0-B0-C1-r8,625777,6,0.432,0.16,7.71,0.276,7,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.943280184525857,1.5018100042722695,16422,1500,2000,2000,1,0,False,False,False
