var_a,var_b,n,spearman,pearson,abs_spearman
clustering,tam_medio_comp_tri,252,0.45352687628189464,0.30863632472859526,0.45352687628189464
tri_ar_media_sop,gini_tri_nodo,252,-0.45330295291179895,-0.2834146206735458,0.45330295291179895
frac_aristas_multi_tri,gini_tri_nodo,252,-0.4511515151355419,-0.28629010614538714,0.4511515151355419
tri_ar_media_sop,n_comp_tri_arista,252,0.4456909267199651,0.27680448423382814,0.4456909267199651
modularidad_tri,pendiente_nativa,252,0.4437329379992059,0.6571193549865398,0.4437329379992059
frac_aristas_multi_tri,n_comp_tri_arista,252,0.4434992603133183,0.27851094402196536,0.4434992603133183
tri_ar_media_sop,n_comp_tri,252,0.4338589655605898,0.26437069116458695,0.4338589655605898
frac_aristas_multi_tri,n_comp_tri,252,0.4319733925234026,0.26844484100826294,0.4319733925234026
tri_ar_max,transitividad,254,0.4313133181895743,0.3816811246598481,0.4313133181895743
frac_aristas_en_triangulo,n_aristas,254,-0.4279285118389535,-0.4532093551326066,0.4279285118389535
tri_ar_media_todas,n_aristas,254,-0.42632556105003855,-0.45215197301062626,0.42632556105003855
tri_ar_media_sop,tri_ar_media_todas,252,0.42364274423431453,0.24641471450187732,0.42364274423431453
tri_ar_media_todas,frac_aristas_multi_tri,252,0.4215799754242815,0.2506260068348891,0.4215799754242815
tri_ar_media_sop,frac_aristas_en_triangulo,252,0.41408947579113203,0.23404500406952902,0.41408947579113203
frac_aristas_en_triangulo,pendiente_nativa,254,0.41358212512895837,0.6266045146082784,0.41358212512895837
tri_ar_media_sop,modularidad_tri,252,0.41346861660223383,0.23374344740726238,0.41346861660223383
tri_ar_max,clustering,254,0.41265574649454884,0.38973723921240544,0.41265574649454884
transitividad,asortatividad,254,0.4125429150939821,0.10706981381760235,0.4125429150939821
tri_ar_media_todas,pendiente_nativa,254,0.4120429047660033,0.6243818371422418,0.4120429047660033
frac_aristas_en_triangulo,frac_aristas_multi_tri,252,0.41203722925661673,0.2384160170928165,0.41203722925661673
frac_aristas_multi_tri,modularidad_tri,252,0.41141110118517077,0.23812997854381393,0.41141110118517077
clustering,asortatividad,254,0.38946638236866965,0.1258468764162956,0.38946638236866965
modularidad_tri,grado_medio,252,-0.3844985899718797,-0.4831231992097524,0.3844985899718797
tri_ar_p99_sop,n_triangulos,252,0.3820812499146749,0.33148669014817245,0.3820812499146749
tri_ar_p99_sop,frac_nodos_en_triangulo,252,0.3801101915598512,0.308442053978166,0.3801101915598512
modularidad_tri,diam,252,0.37550791195558025,0.5315466038461701,0.37550791195558025
n_comp_tri,dist_media_tri,249,0.3710672578865831,0.4201729118119462,0.3710672578865831
n_comp_tri_arista,dist_media_tri,249,0.3636395527793303,0.41873048913576205,0.3636395527793303
frac_aristas_en_triangulo,grado_medio,254,-0.3560051459896491,-0.46024326043056907,0.3560051459896491
tri_ar_media_todas,grado_medio,254,-0.35408545640168426,-0.45797621539931144,0.35408545640168426
n_triangulos,dist_media_tri,249,0.3537062141453261,0.4080665123813092,0.3537062141453261
n_triangulos,asortatividad,254,0.35325343826047206,0.32171471528702333,0.35325343826047206
tri_ar_p99_sop,gini_tri_nodo,252,-0.35270725869229347,-0.27555986390215664,0.35270725869229347
frac_mayor_comp_tri,dist_media_tri,249,-0.35214210557940795,-0.2581896224466061,0.35214210557940795
frac_aristas_en_triangulo,diam,254,0.34714355802826513,0.504054286845028,0.34714355802826513
frac_aristas_en_triangulo,asortatividad,254,0.34666083755415394,0.1779741809174904,0.34666083755415394
tri_ar_media_todas,asortatividad,254,0.34649869641326175,0.17901394563071724,0.34649869641326175
tri_ar_media_todas,diam,254,0.34542872368493915,0.5016311434779924,0.34542872368493915
n_comp_tri,asortatividad,252,0.3436472182640017,0.3094037586531846,0.3436472182640017
tri_ar_p99_sop,n_comp_tri_arista,252,0.34292936606868685,0.27970275651584453,0.34292936606868685
n_comp_tri,giant,252,-0.34160426775307073,-0.5121924589477774,0.34160426775307073
n_comp_tri_arista,asortatividad,252,0.34002754682349706,0.3021407230677367,0.34002754682349706
tri_ar_media_sop,transitividad,252,0.339575415799553,0.16667794620718038,0.339575415799553
frac_aristas_multi_tri,transitividad,252,0.33781500690795796,0.17259047432552221,0.33781500690795796
n_comp_tri_arista,giant,252,-0.3364860402083426,-0.5209574167531164,0.3364860402083426
tri_ar_p99_sop,tri_ar_media_todas,252,0.3361540111029406,0.24118449379539864,0.3361540111029406
modularidad_tri,asortatividad,252,0.33432616790227326,0.1620401353302205,0.33432616790227326
tri_ar_p99_sop,n_comp_tri,252,0.32982623504955505,0.26355576451069723,0.32982623504955505
tri_ar_p99_sop,frac_aristas_en_triangulo,252,0.32705941938666133,0.22868196484356815,0.32705941938666133
tri_ar_p99_sop,modularidad_tri,252,0.3263473193870594,0.228411840741484,0.3263473193870594
tri_ar_media_sop,clustering,252,0.31466065066123095,0.1755916958645465,0.31466065066123095
frac_aristas_multi_tri,clustering,252,0.31272238625598736,0.18137208396056853,0.31272238625598736
n_comp_tri,pendiente_nativa,252,0.31158359309805034,0.43906158810923024,0.31158359309805034
frac_mayor_comp_tri,asortatividad,252,-0.310926657148519,-0.4137261688964738,0.310926657148519
n_comp_tri_arista,pendiente_nativa,252,0.3086200367830671,0.44577398638480836,0.3086200367830671
gini_tri_nodo,giant,252,0.3049709219859243,0.4960146660955803,0.3049709219859243
n_triangulos,giant,254,-0.30341225514810494,-0.48238688622998394,0.30341225514810494
gini_tri_nodo,n_aristas,252,0.3019097071772415,0.343297496874361,0.3019097071772415
frac_nodos_en_triangulo,asortatividad,254,0.29640066008405064,0.2735931329163368,0.29640066008405064
frac_mayor_comp_tri,giant,252,0.295630006912234,0.056096465530681205,0.295630006912234
gini_tri_nodo,dist_media_tri,249,-0.2905132974879931,-0.3548653115131406,0.2905132974879931
dist_media_tri,asortatividad,249,0.28589734247399884,0.16215253664206797,0.28589734247399884
frac_nodos_en_triangulo,dist_media_tri,249,0.2834052038405994,0.35018306211241623,0.2834052038405994
gini_tri_nodo,asortatividad,252,-0.28163638245966643,-0.2550569938646244,0.28163638245966643
frac_nodos_en_triangulo,giant,254,-0.27497563413711545,-0.4663664992863835,0.27497563413711545
n_triangulos,pendiente_nativa,254,0.27261825882679963,0.4033691195849864,0.27261825882679963
frac_nodos_en_triangulo,n_aristas,254,-0.27176781617580414,-0.32038487827558865,0.27176781617580414
tri_ar_p99_sop,transitividad,252,0.26546309626496745,0.1581839780605569,0.26546309626496745
