kcap,K,seed_idx,admitida,J,clase,clustering_nativo,diam_b16,diam_nativo,giant_b16,giant_nativo,holon_ge5,holon_ratio,intentos_filtro,meandeg,n_aristas_nativo,noise,pendiente_null,pendiente_real,rule_id,seed,z_agg,z_sostenido
5,6,4,True,0.74,III,0.005414746543778799,4.0,14.0,0.7938931297709924,0.958,False,1.7972285345268357,1,6.15,3314,0.287,0.7301899359417253,0.7494960327442362,A2-B0-C2-r144,2026934,0.14142135593730976,False
5,6,5,True,0.392,III,0.015116279069767471,4.0,16.0,0.7652582159624414,0.948,False,1.9969464064854452,1,6.88,3172,0.162,0.7840685605233123,0.9086967267165222,A2-B0-C2-r145,2026947,0.848528136223857,False
5,6,6,True,0.635,I,0.0041373926619828255,4.0,13.0,0.8342245989304813,0.9645,False,1.5131922467626646,1,4.19,3178,0.331,0.5127121844085936,0.6531193544888365,A2-B0-C2-r146,2026960,0.5461107985784592,False
5,6,7,True,0.423,I,0.007311951126384108,4.0,13.0,0.8297297297297297,0.966,False,2.052806188866366,1,5.3,3297,0.19,0.7536667235116231,0.699288715761518,A2-B0-C2-r147,2026973,0.7727406599812544,False
5,6,8,True,0.566,III,0.003576209600305983,4.0,16.0,0.8444444444444444,0.97,False,1.9178949628584967,1,5.12,3304,0.198,0.6947545751370654,0.8250023677330723,A2-B0-C2-r148,2026986,0.9848726942622186,False
5,6,9,True,0.555,I,0.004435710275126332,4.0,12.0,0.8529411764705882,0.971,False,1.9254893937994528,1,4.94,3386,0.234,0.6620417414936299,0.6313863291236544,A2-B0-C2-r149,2026999,0.7727406598312544,False
5,6,10,True,0.406,III,0.021710802858343873,5.0,13.0,0.6590909090909091,0.9115,False,1.9273214838588228,1,7.69,3035,0.13,0.818894540225976,0.7394707080741278,A2-B0-C2-r150,2027012,1.165864747023376,False
5,6,11,True,0.766,III,0.005089934940681204,4.0,13.0,0.8015873015873016,0.9595,False,1.7150838732879017,1,5.67,3354,0.315,0.6950592324342173,0.7315749699214958,A2-B0-C2-r151,2027025,0.3897472085538745,False
5,6,12,True,0.639,III,0.002176403207331043,4.0,17.0,0.8467532467532467,0.967,False,2.596611904910626,1,4.14,3243,0.165,0.7183094501306301,0.8620009009420421,A2-B0-C2-r152,2027038,0.8131727972582791,False
5,6,13,True,0.595,III,0.012940943321442746,4.0,17.0,0.7555555555555555,0.9455,False,2.010501988873871,1,6.88,3205,0.28,0.7605835943412826,0.8965163623433511,A2-B0-C2-r153,2027051,0.8708174436105243,False
5,6,14,True,0.451,III,0.02779226423294222,5.0,15.0,0.6744639376218323,0.9055,False,2.4225729513460688,1,7.61,2967,0.151,0.8755345610555727,0.8755290098858971,A2-B0-C2-r154,2027064,0.33629496036424644,False
5,6,15,True,0.731,III,0.011045597484276743,4.0,15.0,0.7976470588235294,0.9525,False,2.9010670150374707,1,6.48,3313,0.121,0.7353348297550856,0.8203338546901257,A2-B0-C2-r155,2027077,0.8106343977275557,False
5,6,16,True,0.574,III,0.01660455486542447,4.0,14.0,0.7098901098901099,0.9315,False,2.265420112792714,1,7.06,3146,0.231,0.857547370247758,0.835173646733962,A2-B0-C2-r156,2027090,0.7399237201339008,False
5,6,17,True,0.494,III,0.008273950910530473,5.0,16.0,0.7957244655581948,0.9525,False,2.524958999799779,1,6.41,3236,0.158,0.7860639223690454,0.8035729955387478,A2-B0-C2-r157,2027103,1.6263455933540598,False
5,6,18,True,0.513,II,0.02618110236220475,5.0,15.0,0.6442105263157895,0.907,False,2.18488963078056,1,7.89,3015,0.143,0.8444904378045125,0.41386646724082404,A2-B0-C2-r158,2027116,4.101219322181976,False
5,6,19,True,0.575,III,0.004493511524307571,5.0,16.0,0.8257575757575758,0.9625,False,2.0443423570955193,1,4.06,3179,0.283,0.748022677023349,0.7498431499177521,A2-B0-C2-r159,2027129,1.5177411774141034,False
5,7,0,True,0.733,III,0.012559241706161158,4.0,16.0,0.7737226277372263,0.95,False,2.4734523264058286,1,6.74,3308,0.337,0.7536682536130603,0.8709983974074331,A2-B0-C2-r160,2027193,0.9192388142675115,False
5,7,1,True,0.445,I,0.00523135033050047,4.0,13.0,0.8356545961002786,0.9655,False,1.547430309116818,1,4.98,3329,0.205,0.6859355376014946,0.6797960150261366,A2-B0-C2-r161,2027206,0.3362949603642468,False
