rule_id,clase,seed,K,J,noise,meandeg,kcap,sim_thr_frac,pendiente,z_agg,holon_ratio
A2-B0-C2-batch3-r88,II,480365,7,0.73,0.111,6.51,7,0.232,0.3619540063055784,0.5656854237492379,3.930430089938448
A2-B0-C2-batch3-r89,I,480462,5,0.372,0.163,4.57,7,0.18,0.5752593059066357,0.3863703299156276,2.060169796101324
A2-B0-C2-batch3-r90,I,480559,6,0.627,0.28,6.96,6,0.277,0.6170919952326769,0.2449489739783178,1.7599093048949883
A2-B0-C2-batch3-r91,III,480656,6,0.388,0.171,4.54,4,0.162,0.8716960017927824,0.8502050954514038,1.9455620107405385
A2-B0-C2-batch3-r92,I,480753,5,0.775,0.335,6.32,6,0.341,0.572729879370707,0.7727406598312547,2.818652858163543
A2-B0-C2-batch3-r93,III,480850,4,0.607,0.132,5.85,4,0.198,1.0301511118561597,0.8485281359738572,4.700614841955949
A2-B0-C2-batch3-r94,I,480947,4,0.354,0.335,4.3,6,0.298,0.638002549200437,0.669213041790246,1.1738816745937104
A2-B0-C2-batch3-r95,intermedio (sin clase clara),481044,5,0.572,0.302,7.05,4,0.282,-0.18587149745112772,3.791755713208475,2.3630802727856355
A2-B0-C2-batch3-r96,III,481141,4,0.483,0.295,7.25,5,0.306,0.8543599282003083,0.5277916860529366,1.9897066729249406
A2-B0-C2-batch3-r97,III,481238,4,0.727,0.256,5.04,5,0.168,0.7158769569347565,0.5277916858529366,2.8634565534966963
A2-B0-C2-batch3-r98,III,481335,8,0.365,0.312,4.55,5,0.265,0.7282734299737176,0.4242640678119288,1.8641633220628073
A2-B0-C2-batch3-r99,III,481432,5,0.565,0.219,5.43,4,0.232,0.8887694466059983,1.7677669497413693,2.3778535258305706
A2-B0-C2-batch3-r100,I,481529,5,0.569,0.195,6.61,4,0.253,-0.942349973342588,2.8600737574163655,2.7953812374879092
A2-B0-C2-batch3-r101,I,481626,7,0.75,0.164,4.81,7,0.223,0.4794786931242186,0.336294960214247,3.7493147216767673
