N,seed,n_surv,f_surv,excess_L2,excess_max,orden,orden_excess,L2_null_allN,L2_null_surv
2000,29,1059,0.5295,0.3548332195064646,0.14317752596789424,0.6614932776020781,0.6342889365252382,0.02091650066335189,0.02874458523546355
2000,30,1026,0.513,0.3564820644109507,0.1557017543859649,0.6365585617389353,0.6084358693144739,0.02091650066335189,0.0292031935021026
2000,31,1029,0.5145,0.35542731366726693,0.14322157434402333,0.6398768850591238,0.613297598406284,0.02091650066335189,0.029160592175990215
2000,32,1007,0.5035,0.3543985664008989,0.14312313803376364,0.664838335812817,0.6386377258274468,0.02091650066335189,0.02947740790777356
2000,33,1023,0.5115,0.35493816416440815,0.14870478983382207,0.6657494495745604,0.6367802418542984,0.02091650066335189,0.02924598208695844
2000,34,1003,0.5015,0.3537090449484346,0.13023429710867396,0.6573778060062749,0.629389295100484,0.02091650066335189,0.029536127902039952
2000,35,1029,0.5145,0.35433886675346604,0.1403061224489796,0.6522535082185016,0.6259276608498828,0.02091650066335189,0.029160592175990215
2000,36,1026,0.513,0.35381795050930254,0.13230994152046782,0.6581962332611776,0.6305531046852713,0.02091650066335189,0.0292031935021026
2000,37,1019,0.5095,0.353742313058388,0.1340775269872424,0.6482701718274231,0.6206553174288956,0.02091650066335189,0.029303327204938452
2000,38,1048,0.524,0.3551285211505607,0.1431297709923664,0.6680720708652582,0.6401362447949148,0.02091650066335189,0.028895045667417407
2000,39,999,0.4995,0.35364229906573863,0.13025525525525528,0.6547053097206181,0.6266103333399894,0.02091650066335189,0.029595200216857392
2000,40,1021,0.5105,0.35428081693196883,0.1404260528893242,0.6636575178865682,0.6334683187315486,0.02091650066335189,0.029274612521701947
2000,41,1028,0.514,0.3544595451360623,0.13959143968871596,0.6603690472696739,0.6309679988998182,0.02091650066335189,0.02917477189585374
2000,42,1006,0.503,0.35380343579238405,0.13245526838966204,0.6549478845849415,0.626726889690648,0.02091650066335189,0.029492055067886276
2000,43,1017,0.5085,0.3540572342298439,0.1336037364798427,0.660237864473382,0.6311215311477992,0.02091650066335189,0.029332126550665697
2000,44,1024,0.512,0.35386884546402086,0.134765625,0.660239430193968,0.6308718814925697,0.02091650066335189,0.029231698334171417
2000,45,1049,0.5245,0.35457844230915836,0.14096758817921828,0.6421929777332984,0.6163420398433821,0.02091650066335189,0.028881269721143386
2000,46,1024,0.512,0.35495595309516265,0.1494140625,0.6659824854512568,0.639147402411089,0.02091650066335189,0.029231698334171417
2000,47,1016,0.508,0.35430883572033894,0.14074803149606302,0.6415990596876406,0.6122651564577491,0.02091650066335189,0.02934655810211727
2000,48,1035,0.5175,0.35378665607437737,0.13297101449275361,0.6531580535882587,0.6253130714814358,0.02091650066335189,0.02907594586628823
2000,49,1020,0.51,0.35398538341636887,0.1377450980392157,0.660725368676207,0.6342934123461158,0.02091650066335189,0.029288959306450306
2000,50,1033,0.5165,0.3538511265104996,0.1373426911907067,0.6577403188201971,0.6302735617521908,0.02091650066335189,0.02910407934734134
4000,1,2028,0.507,0.35424249811713987,0.134861932938856,0.6485703181095683,0.6294596112969708,0.01479019945774904,0.020771604802589296
4000,2,2022,0.5055,0.35425176817103365,0.14404055390702275,0.6597317236367383,0.6408389968868246,0.01479019945774904,0.020802400378880422
4000,3,2058,0.5145,0.35406089740966207,0.13447521865889212,0.6625856146895001,0.6430508850660085,0.01479019945774904,0.020619652471058063
4000,4,2051,0.51275,0.3539313173356024,0.13341053144807413,0.661154546481227,0.6414479418252923,0.01479019945774904,0.02065480961930069
4000,5,2012,0.503,0.3543943207125592,0.1379224652087475,0.6664621940822648,0.6474060025687254,0.01479019945774904,0.020854032129629472
4000,6,2023,0.50575,0.35421029426557227,0.1355042016806723,0.6505647339470304,0.6308331185042654,0.01479019945774904,0.020797258270192576
4000,7,2037,0.50925,0.3550725122836301,0.14304123711340205,0.6373409780092518,0.6174088464967381,0.01479019945774904,0.020725666807241958
4000,8,2089,0.52225,0.35393064923095335,0.13780516993776926,0.6587607176482466,0.6388528055750423,0.01479019945774904,0.02046608655554341
4000,9,2084,0.521,0.354277493386795,0.14083493282149712,0.6546908221393474,0.6348121661787341,0.01479019945774904,0.020490623294430108
