origen_tarea,par,rule_id,rol,clase,seed,K,kcap,match_exacto_K_kcap,fraccion_masa_en_sumideros,n_sumideros,t_primer_sumidero,masa_acretada_total,kappa_v_agregado,kappa_v_medio_valido,n_kappa_indefinidos,carpeta
tarea_actual_v4_escala40,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,A2-B0-C2-batch4-r51,I,I,576776,8,4,True,0.14499999999999996,8,0.031,2726.0000000000005,1.3424657534246576,1.3409722222222222,0,A2-B0-C2-batch4-r51_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r51_vs_A2-B0-C2-batch4-r36,A2-B0-C2-batch4-r36,III,III,575321,8,4,True,0.15349999999999997,8,0.023,2885.7999999999997,1.407894736842105,1.4208964646464646,0,A2-B0-C2-batch4-r36_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,A2-B0-C2-batch4-r38,I,I,575515,4,5,True,0.09950000000000002,8,0.034,1870.6,0.6439790575916231,0.6477220695970697,0,A2-B0-C2-batch4-r38_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,A2-B0-C2-batch4-r72,III,III,578813,4,5,True,0.10150000000000003,8,0.022,1908.2,0.5148514851485143,0.5229903198653193,0,A2-B0-C2-batch4-r72_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,A2-B0-C2-batch4-r57,I,I,577358,7,5,True,0.09950000000000002,8,0.034,1870.6,0.49275362318840554,0.5092261904761903,0,A2-B0-C2-batch4-r57_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r57_vs_A2-B0-C2-batch4-r43,A2-B0-C2-batch4-r43,III,III,576000,7,5,True,0.09350000000000003,8,0.04,1757.7999999999997,0.5052631578947369,0.5091540404040402,0,A2-B0-C2-batch4-r43_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,A2-B0-C2-batch4-r13,I,I,573090,6,6,True,0.07650000000000001,8,0.047,1438.1999999999998,0.4680851063829786,0.4797619047619047,0,A2-B0-C2-batch4-r13_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,A2-B0-C2-batch4-r94,III,III,580947,6,6,True,0.08900000000000004,8,0.038,1673.2000000000003,0.39893617021276606,0.3983674085576261,0,A2-B0-C2-batch4-r94_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,A2-B0-C2-batch4-r41,I,I,575806,6,5,True,0.09350000000000003,8,0.039,1757.8,0.4833333333333333,0.4987599206349206,0,A2-B0-C2-batch4-r41_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r41_vs_A2-B0-C2-batch4-r12,A2-B0-C2-batch4-r12,III,III,572993,6,5,True,0.1005,8,0.039,1889.4,0.5384615384615384,0.5438988095238095,0,A2-B0-C2-batch4-r12_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,A2-B0-C2-batch4-r18,I,I,573575,5,6,True,0.08200000000000002,8,0.048,1541.6,0.5510204081632653,0.5611607142857142,0,A2-B0-C2-batch4-r18_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,A2-B0-C2-batch4-r19,III,III,573672,5,6,True,0.09050000000000001,8,0.036,1701.4,0.4761904761904759,0.4769345238095235,0,A2-B0-C2-batch4-r19_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,A2-B0-C2-batch4-r39,I,I,575612,5,5,True,0.10150000000000003,8,0.04,1908.2,0.5873015873015872,0.5992063492063491,0,A2-B0-C2-batch4-r39_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r39_vs_A2-B0-C2-batch4-r26,A2-B0-C2-batch4-r26,III,III,574351,5,5,True,0.10250000000000004,8,0.038,1926.9999999999998,0.5294117647058822,0.5422123015873015,0,A2-B0-C2-batch4-r26_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,A2-B0-C2-batch4-r70,I,I,578619,7,5,True,0.098,8,0.036,1842.3999999999999,0.4581280788177341,0.4656250000000002,0,A2-B0-C2-batch4-r70_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r70_vs_A2-B0-C2-batch4-r47,A2-B0-C2-batch4-r47,III,III,576388,7,5,True,0.09300000000000001,8,0.039,1748.3999999999999,0.4,0.4005456349206349,0,A2-B0-C2-batch4-r47_III
tarea_actual_v4_escala40,A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,A2-B0-C2-batch4-r44,I,I,576097,6,5,True,0.10000000000000003,8,0.04,1879.9999999999998,0.4999999999999999,0.5044642857142856,0,A2-B0-C2-batch4-r44_I
tarea_actual_v4_escala40,A2-B0-C2-batch4-r44_vs_A2-B0-C2-batch4-r28,A2-B0-C2-batch4-r28,III,III,574545,6,5,True,0.10650000000000004,8,0.03,2002.2,0.5937499999999999,0.6228174603174602,0,A2-B0-C2-batch4-r28_III
