rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A2-B0-C1-r3,1154,2,0.08,6.0,0.9844020797227037,0.5704415491636655,3741,27,7.0,1e-09,1.6308355603568034,A2,B0,C1,I,0.45474854867641046,0.4242640678119288,2.858900377694788
A2-B0-C1-r3,683,4,0.14,6.0,0.9736456808199122,0.5704415491636655,3247,27,5.333333333333333,0.4714045217910317,1.6308355603568034,A2,B0,C1,I,0.45474854867641046,0.4242640678119288,2.858900377694788
A2-B0-C1-r3,466,8,0.18,5.0,0.9613733905579399,0.5704415491636655,2935,27,5.0,1e-09,1.6308355603568034,A2,B0,C1,I,0.45474854867641046,0.4242640678119288,2.858900377694788
A2-B0-C1-r3,344,16,0.22,4.0,0.9476744186046512,0.5704415491636655,2520,27,4.0,1e-09,1.6308355603568034,A2,B0,C1,I,0.45474854867641046,0.4242640678119288,2.858900377694788
A2-B0-C1-r4,2000,1,0.04,7.0,0.9995,0.4504354450717065,7519,165,6.333333333333333,0.4714045217910317,1.4687243920205257,A2,B0,C1,I,0.2606877844442043,0.8485281356238572,3.2606767697571266
A2-B0-C1-r4,1082,2,0.13,5.0,0.9990757855822551,0.4504354450717065,6577,165,5.0,0.816496581927726,1.4687243920205257,A2,B0,C1,I,0.2606877844442043,0.8485281356238572,3.2606767697571266
A2-B0-C1-r4,617,4,0.2,5.0,0.9983792544570502,0.4504354450717065,6030,165,4.333333333333333,0.4714045217910317,1.4687243920205257,A2,B0,C1,I,0.2606877844442043,0.8485281356238572,3.2606767697571266
A2-B0-C1-r4,379,8,0.27,4.0,0.9973614775725593,0.4504354450717065,5436,165,4.0,1e-09,1.4687243920205257,A2,B0,C1,I,0.2606877844442043,0.8485281356238572,3.2606767697571266
A2-B0-C1-r4,248,16,0.32,4.0,0.9959677419354839,0.4504354450717065,4264,165,3.3333333333333335,0.4714045217910317,1.4687243920205257,A2,B0,C1,I,0.2606877844442043,0.8485281356238572,3.2606767697571266
A2-B0-C2-r0,2000,1,0.02,14.0,0.9835,0.7150134156939344,3730,24,12.666666666666666,1.2472191299246471,1.2636660605642511,A2,B0,C2,III,0.722456858582056,0.9209157730450587,1.7673319588526024
A2-B0-C2-r0,1159,2,0.08,10.0,0.9732528041415013,0.7150134156939344,2885,24,8.666666666666666,0.4714045217910317,1.2636660605642511,A2,B0,C2,III,0.722456858582056,0.9209157730450587,1.7673319588526024
A2-B0-C2-r0,718,4,0.12,6.0,0.9568245125348189,0.7150134156939344,2429,24,6.333333333333333,0.4714045217910317,1.2636660605642511,A2,B0,C2,III,0.722456858582056,0.9209157730450587,1.7673319588526024
A2-B0-C2-r0,465,8,0.15,5.0,0.9333333333333333,0.7150134156939344,2119,24,5.0,1e-09,1.2636660605642511,A2,B0,C2,III,0.722456858582056,0.9209157730450587,1.7673319588526024
