rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final
A2-B0-C2-r16,707,8,0.09,7.0,0.5374823196605375,0.6548757658581984,901,69,6.666666666666667,0.4714045217910317,1.3222343533147116,A2,B0,C2,III
A2-B0-C2-r16,626,16,0.11,5.0,0.4776357827476038,0.6548757658581984,791,69,5.0,1e-09,1.3222343533147116,A2,B0,C2,III
A2-B0-C2-r17,2000,1,0.01,15.0,0.922,0.5749645887494234,3165,87,13.333333333333334,0.4714045217910317,1.5744315894572558,A2,B0,C2,III
A2-B0-C2-r17,1239,2,0.05,10.0,0.880548829701372,0.5749645887494234,2379,87,9.666666666666666,0.4714045217910317,1.5744315894572558,A2,B0,C2,III
A2-B0-C2-r17,794,4,0.08,7.0,0.8161209068010076,0.5749645887494234,1923,87,6.333333333333333,0.4714045217910317,1.5744315894572558,A2,B0,C2,III
A2-B0-C2-r17,565,8,0.11,6.0,0.7415929203539823,0.5749645887494234,1660,87,4.666666666666667,0.4714045217910317,1.5744315894572558,A2,B0,C2,III
A2-B0-C2-r17,463,16,0.14,5.0,0.6846652267818575,0.5749645887494234,1479,87,4.0,1e-09,1.5744315894572558,A2,B0,C2,III
A2-B0-C2-r18,2000,1,0.03,10.0,0.9915,0.79473146407285,4780,111,8.666666666666666,0.4714045217910317,1.7016546083936277,A2,B0,C2,I
A2-B0-C2-r18,1113,2,0.1,7.0,0.9847259658580413,0.79473146407285,3869,111,6.333333333333333,0.4714045217910317,1.7016546083936277,A2,B0,C2,I
A2-B0-C2-r18,673,4,0.13,5.0,0.974739970282318,0.79473146407285,3400,111,5.333333333333333,0.4714045217910317,1.7016546083936277,A2,B0,C2,I
A2-B0-C2-r18,428,8,0.17,5.0,0.9602803738317757,0.79473146407285,3041,111,4.666666666666667,0.4714045217910317,1.7016546083936277,A2,B0,C2,I
A2-B0-C2-r18,295,16,0.21,4.0,0.9423728813559322,0.79473146407285,2581,111,4.0,1e-09,1.7016546083936277,A2,B0,C2,I
A2-B0-C2-r19,2000,1,0.01,12.0,0.9775,1.054852606985123,3679,18,12.333333333333334,0.4714045217910317,1.8972843731081868,A2,B0,C2,III
A2-B0-C2-r19,1177,2,0.05,8.0,0.9660152931180969,1.054852606985123,2853,18,8.666666666666666,1.2472191299246471,1.8972843731081868,A2,B0,C2,III
A2-B0-C2-r19,737,4,0.08,6.0,0.9457259158751696,1.054852606985123,2395,18,6.0,1e-09,1.8972843731081868,A2,B0,C2,III
A2-B0-C2-r19,534,8,0.1,4.0,0.9250936329588015,1.054852606985123,2169,18,5.0,1e-09,1.8972843731081868,A2,B0,C2,III
A2-B0-C2-r19,394,16,0.12,4.0,0.8984771573604061,1.054852606985123,1888,18,4.0,1e-09,1.8972843731081868,A2,B0,C2,III
