archivo,carpeta,N,E,cv_pi_r2a5,b_medio_r2a5,pi_r2,pi_r5,pi_max
A2-B0-C2-batch3-r0__s471829__unico__N2000.grafo.gz,F5B_40pares,2000,2308,0.5241,2.1217,1.375,5.462,18.544
A2-B0-C2-batch3-r0__s471829__orig__N2000.grafo.gz,O3B_rewiring,2000,2308,0.5241,2.1217,1.375,5.462,18.544
A2-B0-C2-kbar-r6__s9314742__regla__N2000.grafo.gz,O3D_kcap,2000,2556,0.5246,2.1465,1.421,5.66,21.131
A2-B0-C2-kbar-r2__s9314354__regla__N2000.grafo.gz,O3D_kcap,2000,2303,0.5304,2.1945,1.683,7.023,21.066
A2-B0-C2-o3e-s273381-mem__s273381__mem__N2000.grafo.gz,O3E_memoria,2000,2228,0.532,2.1709,1.379,5.698,17.834
A2-B0-C2-o3e-s273381-nomem__s273381__nomem__N2000.grafo.gz,O3E_memoria,2000,2289,0.5335,2.2225,1.558,6.533,19.684
A2-B0-C2-kbar-r7__s9314839__regla__N2000.grafo.gz,O3D_kcap,2000,2270,0.5338,2.1952,1.454,6.035,18.196
A2-B0-C2-kbar-r32__s9317264__regla__N2000.grafo.gz,O3D_kcap,2000,2340,0.5358,2.1352,1.308,5.423,18.631
A2-B0-C2-batch4-r36__s575321__unico__N4000.grafo.gz,O3A_N4000,4000,4586,0.5369,2.1846,1.413,5.957,33.769
A2-B0-C2-batch4-r51__s576776__unico__N4000.grafo.gz,O3A_N4000,4000,5006,0.537,2.1791,1.571,6.575,38.824
A2-B0-C2-batch4-r51__s576776__unico__N2000.grafo.gz,F5B_40pares,2000,2483,0.5379,2.2097,1.646,6.988,21.733
A2-B0-C2-batch3-r45__s476194__unico__N2000.grafo.gz,OUT_pendNEG,2000,2281,0.5395,2.2046,1.542,6.645,19.556
A2-B0-C2-batch3-r100__s481529__unico__N2000.grafo.gz,F5B_40pares,2000,2374,0.5402,2.2116,1.408,6.017,19.418
A2-B0-C2-batch3-r40__s475709__unico__N2000.grafo.gz,OUT_pendNEG,2000,2319,0.5404,2.1897,1.525,6.473,19.986
CONTROL-ER-a2321-s3000001__s3000001__control_ER__N2000.grafo.gz,O3D_kcap,2000,2321,0.5413,2.2416,1.517,6.592,21.056
A2-B0-C2-r0__s271829__unico__N2000.grafo.gz,OUT_pendNEG,2000,2479,0.544,2.2075,1.517,6.483,20.989
A2-B0-C2-batch4-r178__s589095__unico__N2000.grafo.gz,OUT_pendNEG,2000,2332,0.5441,2.1712,1.442,6.142,19.631
A2-B0-C2-batch3-r0__s471829__unico__N4000.grafo.gz,O3A_N4000,4000,4714,0.5525,2.2456,1.562,6.86,34.372
CONTROL-ER-a2321-s3000002__s3000002__control_ER__N2000.grafo.gz,O3D_kcap,2000,2321,0.5533,2.2953,1.621,7.275,19.879
CONTROL-ER-a2321-s3000003__s3000003__control_ER__N2000.grafo.gz,O3D_kcap,2000,2321,0.5624,2.2504,1.525,7.003,20.923
A2-B0-C2-batch3-r100__s481529__unico__N4000.grafo.gz,O3A_N4000,4000,4723,0.5675,2.2406,1.533,6.843,37.18
A2-B0-C2-mec-r10__s91182__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,5774,0.6299,3.9819,9.333,82.385,91.34
A2-B0-C2-mec-r10__s91182__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,6060,0.6349,4.1284,9.183,81.785,96.615
A2-B0-C2-mec-r1__s90309__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,5624,0.6643,3.9743,7.912,86.495,86.495
A2-B0-C2-mec-r1__s90309__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,5633,0.6696,3.9895,7.779,88.04,88.04
A2-B0-C2-mec-r10__s91182__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,5787,0.6702,4.1396,7.513,86.558,86.558
A2-B0-C2-mec-r1__s90309__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,5504,0.6709,4.022,7.75,87.958,87.958
A2-B0-C2-mec-r1__s90309__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,5494,0.6744,4.0046,7.688,88.865,88.865
A2-B0-C2-mec-r9__s91085__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,5202,0.6791,3.7975,7.513,85.028,85.028
A2-B0-C2-batch4-r15__s573284__unico__N2000.grafo.gz,F5B_40pares,2000,3098,0.7024,2.6554,2.038,14.627,34.968
A2-B0-C2-mec-r9__s91085__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,5169,0.7044,3.8835,7.121,88.773,88.773
A2-B0-C2-mec-r11__s91279__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,4880,0.7076,3.837,6.671,83.62,83.62
A2-B0-C2-batch3-r58__s477455__unico__N2000.grafo.gz,F5B_40pares,2000,3150,0.7091,2.6978,2.2,16.172,36.781
A2-B0-C2-o3e-s477455-mem__s477455__mem__N2000.grafo.gz,O3E_memoria,2000,3150,0.7091,2.6978,2.2,16.172,36.781
A2-B0-C2-batch3-r59__s477552__unico__N2000.grafo.gz,F5B_40pares,2000,3159,0.717,2.7415,2.188,17.035,36.961
A2-B0-C2-batch3-r111__s482596__rewire__N2000.grafo.gz,O3B_rewiring,2000,3017,0.7183,2.7542,2.208,17.153,37.88
A2-B0-C2-kbar-r26__s9316682__regla__N2000.grafo.gz,O3D_kcap,2000,3159,0.7197,2.6957,2.271,17.555,37.289
A2-B0-C2-batch3-r53__s476970__unico__N2000.grafo.gz,F5B_40pares,2000,3204,0.7207,2.7281,2.208,17.46,39.898
A2-B0-C2-batch3-r111__s482596__unico__N2000.grafo.gz,F5B_40pares,2000,3017,0.721,2.7628,2.292,17.937,34.327
A2-B0-C2-batch3-r111__s482596__orig__N2000.grafo.gz,O3B_rewiring,2000,3017,0.721,2.7628,2.292,17.937,34.327
A2-B0-C2-batch3-r60__s477649__rewire__N2000.grafo.gz,O3B_rewiring,2000,3068,0.7217,2.7877,2.604,20.54,40.18
A2-B0-C2-batch3-r48__s476485__unico__N2000.grafo.gz,F5B_40pares,2000,3271,0.7225,2.7348,2.417,19.123,39.737
A2-B0-C2-batch4-r10__s572799__rewire__N2000.grafo.gz,O3B_rewiring,2000,2994,0.7234,2.7232,2.208,17.182,37.762
A2-B0-C2-batch4-r10__s572799__unico__N2000.grafo.gz,F5B_40pares,2000,2994,0.7241,2.7833,2.696,21.713,34.725
A2-B0-C2-batch4-r10__s572799__orig__N2000.grafo.gz,O3B_rewiring,2000,2994,0.7241,2.7833,2.696,21.713,34.725
