carpeta,rule_id,seed,variante,brazo,realizacion,lote,T_objetivo,n_aristas,n_triangulos,pico_p90_med,pico_cv,pico_max_med,frac_aristas_en_triangulo,tri_por_arista_media,frac_aristas_multi_tri,gini_tri_nodo,pendiente_corregida,frac_masa,n_sumideros,kappa_v,t_primer_sumidero,n_gas_inicial,n_dump_final,clave
A2-B0-C2-r19_s273672_f803_disp0,A2-B0-C2-r19,273672,disp0,disp,0,271828,939,3679,939,12.691987305040158,4.233986592728298,987.8350116090485,0.6800761076379451,1.1258992805755397,0.12589928057553956,0.2761805111821086,0.6957229817564465,0.11700000000000002,8,0.8686868686868681,0.035,2000,cosmog_00500,A2-B0-C2-r19_s273672
A2-B0-C2-r19_s273672_f803_disp1,A2-B0-C2-r19,273672,disp1,disp,1,271828,939,3679,939,11.721744814101768,4.182113852496124,715.646091528999,0.6855123674911661,1.1169706582077716,0.11697065820777161,0.2699682286119986,0.6136809849294218,0.11250000000000004,8,0.6956521739130433,0.03,2000,cosmog_00500,A2-B0-C2-r19_s273672
A2-B0-C2-r19_s273672_f803_disp2,A2-B0-C2-r19,273672,disp2,disp,2,271828,939,3679,939,12.36147430472769,4.269963927548394,898.7402572788421,0.6836096765425387,1.120079522862823,0.12007952286282306,0.27297603833865813,0.6567228655854915,0.11750000000000005,8,0.8905472636815909,0.033,2000,cosmog_00500,A2-B0-C2-r19_s273672
A2-B0-C2-r19_s273672_f803_solap0,A2-B0-C2-r19,273672,solap0,solap,0,271828,939,3679,939,15.224907618689137,4.058287160842155,829.2099192975635,0.27262843163903233,2.8085742771684945,0.8604187437686939,0.8520441959531416,0.6865734060154685,0.12549999999999997,8,0.8823529411764706,0.032,2000,cosmog_00500,A2-B0-C2-r19_s273672
A2-B0-C2-r19_s273672_f803_solap1,A2-B0-C2-r19,273672,solap1,solap,1,271828,939,3679,939,15.363845075672284,4.287633706541563,1037.2145705209118,0.2821418863821691,2.713872832369942,0.8554913294797688,0.8445134895278665,0.7620424357458998,0.1265,8,0.9014084507042253,0.029,2000,cosmog_00500,A2-B0-C2-r19_s273672
A2-B0-C2-r19_s273672_f803_solap2,A2-B0-C2-r19,273672,solap2,solap,2,271828,939,3679,939,15.501585711056107,4.173496432002919,847.1333595559884,0.2633867898885567,2.9071207430340555,0.8802889576883385,0.854502484913028,0.7628386718643495,0.12799999999999997,8,0.981220657276995,0.032,2000,cosmog_00500,A2-B0-C2-r19_s273672
A2-B0-C2-r20_s373769_f803_disp0,A2-B0-C2-r20,373769,disp0,disp,0,371828,562,3706,562,8.287871721555284,4.226347499949157,755.1414059383461,0.4452239611440907,1.0218181818181817,0.02181818181818182,0.2837046263345196,0.5703852287473784,0.09700000000000002,8,0.5409836065573769,0.039,2000,cosmog_00500,A2-B0-C2-r20_s373769
A2-B0-C2-r20_s373769_f803_disp1,A2-B0-C2-r20,373769,disp1,disp,1,371828,562,3706,562,8.024025302021373,4.2516653001332925,703.594396522121,0.44333513221802484,1.026171637248935,0.026171637248934874,0.2937431791221827,0.47249894557139527,0.09750000000000003,8,0.5076923076923076,0.041,2000,cosmog_00500,A2-B0-C2-r20_s373769
A2-B0-C2-r20_s373769_f803_disp2,A2-B0-C2-r20,373769,disp2,disp,2,371828,562,3706,562,9.551327221973052,4.250042072830775,779.2105620884571,0.4444144630329196,1.02367941712204,0.023679417122040074,0.28704033214709374,0.6581811213033201,0.09900000000000003,8,0.6256684491978611,0.043,2000,cosmog_00500,A2-B0-C2-r20_s373769
A2-B0-C2-r20_s373769_f803_solap0,A2-B0-C2-r20,373769,solap0,solap,0,371828,562,3706,562,17.788455052380456,4.201057801412723,1141.9894703236052,0.1705342687533729,2.6677215189873418,0.8481012658227848,0.8950557532621589,0.8026917397573892,0.11799999999999998,8,0.8805970149253732,0.027,2000,cosmog_00500,A2-B0-C2-r20_s373769
A2-B0-C2-r20_s373769_f803_solap1,A2-B0-C2-r20,373769,solap1,solap,1,371828,562,3706,562,16.44297104727872,4.227517418954283,1063.8125174545353,0.17026443604964922,2.6719492868462758,0.8700475435816165,0.8939051008303678,0.5385569378299131,0.11650000000000003,8,0.6619718309859155,0.025,2000,cosmog_00500,A2-B0-C2-r20_s373769
A2-B0-C2-r20_s373769_f803_solap2,A2-B0-C2-r20,373769,solap2,solap,2,371828,562,3706,562,18.48578614717898,4.183125990700568,1080.0795039105371,0.16621694549379384,2.737012987012987,0.8717532467532467,0.8978493475682088,0.7136160141971616,0.12050000000000001,8,0.8986175115207379,0.032,2000,cosmog_00500,A2-B0-C2-r20_s373769
A2-B0-C2-r28_s374545_f803_disp0,A2-B0-C2-r28,374545,disp0,disp,0,371828,1149,3947,1148,9.164336388172725,4.237355240300389,803.3608658471366,0.7164935393970104,1.2178217821782178,0.21216407355021216,0.30378948896631824,0.5772761448063937,0.10500000000000005,8,0.6119402985074626,0.031,2000,cosmog_00500,A2-B0-C2-r28_s374545
A2-B0-C2-r28_s374545_f803_disp1,A2-B0-C2-r28,374545,disp1,disp,1,371828,1149,3947,1149,8.611492508765435,4.257240457576283,780.5926006794438,0.7050924752976945,1.2385914480776141,0.23463887890765361,0.31415854366115464,0.542390432156098,0.10100000000000003,8,0.5357142857142856,0.031,2000,cosmog_00500,A2-B0-C2-r28_s374545
