corrida,umbral,descripcion_umbral,n_difuso,masa_difusa,H_v3d_abs,Hmm_v3d_abs,Hrar_v3d_abs,H_v3d_std,Hmm_v3d_std,Hrar_v3d_std,H_mod_abs,Hmm_mod_abs,Hrar_mod_abs,H_mod_std,Hmm_mod_std,Hrar_mod_std,sigma_v,v_mediana,n_fil_c1.0,frac_mayor_c1.0,n_fil_c1.5,frac_mayor_c1.5,n_fil_c2.5,frac_mayor_c2.5
A2-B0-C2-batch4-r13_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1229,11552.6,5.953987009760002,5.99096414058832,5.87771509790586,5.957865297813574,5.994842428641891,5.881165170162012,3.986154876332482,3.9949589551011293,3.9686570807426493,3.995008451698625,4.003812530467272,3.978707648868036,1.8209963262271223,1.5895196082727785,31,0.01952807160292921,60,0.030919446704637917,6,0.9275834011391375
A2-B0-C2-batch4-r15_I,A_P50_abs,rho < 0.2004 (P50 agrupado),669,6288.6,5.90835405627549,5.976283643402549,5.862660166965112,5.922848138370638,5.990777725497696,5.879147727862338,3.9732020171442635,3.9893757283649918,3.9637542879600245,3.987088995667378,4.003262706888106,3.977046980257052,1.6506813492990413,1.4224230201439292,8,0.01195814648729447,29,0.02242152466367713,7,0.7952167414050823
A2-B0-C2-batch4-r18_I,A_P50_abs,rho < 0.2004 (P50 agrupado),1234,11599.6,5.965147154215503,6.0019744587438675,5.8890354972475505,5.969801377553102,6.006628682081467,5.894848012366939,3.988003557836076,3.9967719636761627,3.969806943515808,3.995243921515293,4.00401232735538,3.977459424248709,1.7963138917154335,1.5252625936831414,32,0.024311183144246355,67,0.03403565640194489,6,0.9092382495948136
A2-B0-C2-batch4-r19_III,A_P50_abs,rho < 0.2004 (P50 agrupado),893,8394.2,5.944652739969934,5.995542878590317,5.881761586096164,5.953322395834337,6.00421253445472,5.891200213173829,3.9841973494874634,3.9963140491589835,3.969828055060581,3.9871967883355843,3.999313488007104,3.9733492521375315,1.7343326854757581,1.5266331543012726,18,0.01791713325867861,42,0.029115341545352745,8,0.6405375139977604
A2-B0-C2-batch4-r1_III,A_P50_abs,rho < 0.2004 (P50 agrupado),792,7444.8,5.933874991524533,5.991254907923526,5.881655869987123,5.942087684307985,5.9994676007069785,5.885232054202898,3.9903167119517278,4.003978596808631,3.977802880052629,3.9887977029320374,4.00245958778894,3.9762226626667063,1.716539996579549,1.483668087668436,18,0.011363636363636364,32,0.016414141414141416,9,0.8282828282828283
A2-B0-C2-batch4-r23_I,A_P50_abs,rho < 0.2004 (P50 agrupado),870,8178.0,5.935041919811167,5.987277429912319,5.875133684724364,5.942865719997496,5.995101230098648,5.8807167394325885,3.9831181688585082,3.9955551950730683,3.968942081951583,3.9831640286786643,3.9956010548932244,3.9696392936063116,1.7316574339726507,1.4807320448916759,21,0.017241379310344827,46,0.021839080459770115,6,0.8839080459770114
A2-B0-C2-batch4-r26_III,A_P50_abs,rho < 0.2004 (P50 agrupado),797,7491.8,5.951922682562664,6.008942624580233,5.89754322744967,5.960333756004328,6.017353698021897,5.905295254596466,3.992367326409259,4.0059435030801085,3.9796892199454366,3.9857342348776115,3.999310411548461,3.9721852697926714,1.7453842210270822,1.5124576618498529,16,0.012547051442910916,45,0.03262233375156838,3,0.8619824341279799
A2-B0-C2-batch4-r28_III,A_P50_abs,rho < 0.2004 (P50 agrupado),832,7820.8,5.905705856847499,5.960327123419617,5.847871173456987,5.918304850531402,5.97292611710352,5.862616489080158,3.984166321673175,3.997171385142727,3.970339065148659,3.9876233177847733,4.000628381254325,3.9745685664521746,1.737013474119811,1.4406338840660942,16,0.021634615384615384,45,0.026442307692307692,2,0.8870192307692307
A2-B0-C2-batch4-r31_I,A_P50_abs,rho < 0.2004 (P50 agrupado),827,7773.8,5.933680488222123,5.988631992197942,5.877096623364364,5.941008145036233,5.995959649012052,5.884011938983373,3.982359955606605,3.9954436470294192,3.9699210446247175,3.9842753049289232,3.9973589963517373,3.9714136203958286,1.700785656677351,1.5106464189757154,22,0.015719467956469165,41,0.03385731559854897,9,0.7363966142684402
A2-B0-C2-batch4-r36_III,A_P50_abs,rho < 0.2004 (P50 agrupado),421,3957.4,5.898983150707858,6.0069282665938495,5.896966259723223,5.9002640584187835,6.008209174304775,5.8983295503102235,3.978359030919107,4.004060248987201,3.9778777843311497,3.9733100412974465,3.9990112593655396,3.9730988602770725,1.7575593204830604,1.43437660422091,3,0.011876484560570071,13,0.021377672209026127,19,0.1377672209026128
A2-B0-C2-batch4-r38_I,A_P50_abs,rho < 0.2004 (P50 agrupado),745,7003.0,5.9405098163868555,6.001509673820416,5.886369118102969,5.930767713265276,5.991767570698836,5.879482225563296,3.9837512727569866,3.9982750483364056,3.97218173999192,3.9845638161144183,3.9990875916938373,3.9720273685056435,1.6890647453397554,1.4708584869129657,8,0.01879194630872483,37,0.02953020134228188,6,0.8335570469798658
A2-B0-C2-batch4-r39_I,A_P50_abs,rho < 0.2004 (P50 agrupado),761,7153.400000000001,5.93901183672374,5.998729174158697,5.885936465478649,5.948730462878177,6.008447800313134,5.89489562656613,3.984042558563471,3.998260972238461,3.971937801705287,3.9799745291025586,3.9941929427775484,3.9671848441823885,1.7287045931050897,1.4497076712030597,14,0.01445466491458607,39,0.02759526938239159,8,0.7923784494086727
