t,energia_L_baja,energia_L_alta,energia_R_baja,energia_R_alta,gradE_calc
141.5000,0.128805,0.000140,0.127316,0.000397,0.510994
142.0000,0.139495,0.000176,0.140462,0.000347,0.665116
142.5000,0.143498,0.007777,0.147422,0.009326,0.689149
143.0000,0.176816,0.001908,0.173962,0.002083,0.573875
143.5000,0.130440,0.005199,0.133838,0.005995,0.645174
144.0000,0.265945,0.051759,0.237888,0.147229,0.503502
144.5000,0.125851,0.007835,0.125907,0.011388,0.744224
145.0000,0.138557,0.000072,0.141223,0.000087,0.627531
145.5000,0.179063,0.004444,0.151798,0.002793,0.608455
146.0000,0.091754,0.195145,0.054921,0.189182,0.546338
146.5000,0.190777,0.000432,0.183092,0.000486,0.554415
147.0000,0.254215,0.029360,0.230322,0.057009,0.450750
147.5000,0.166201,0.000519,0.174696,0.001055,0.755391
148.0000,0.093741,0.143243,0.069499,0.140319,0.639147
148.5000,0.124673,0.203679,0.099640,0.258385,0.730225
149.0000,0.180244,0.026492,0.174362,0.024825,0.511853
149.5000,0.126016,0.002274,0.127653,0.002612,0.527880
150.0000,0.144624,0.075526,0.141640,0.074924,0.639233
150.5000,0.328300,0.007771,0.231056,0.007800,0.359437
151.0000,0.237569,0.000910,0.250168,0.001517,0.714413
151.5000,0.182763,0.001031,0.178692,0.001078,0.626030
152.0000,0.436127,0.000535,0.322791,0.000475,0.428997
152.5000,0.203717,0.033999,0.210253,0.114145,0.555870
153.0000,0.172424,0.009180,0.167509,0.011115,0.685919
153.5000,0.031438,0.153301,0.035217,0.165503,0.676298
154.0000,0.134851,0.042728,0.133046,0.049732,0.732508
154.5000,0.127259,0.000684,0.127241,0.000669,0.563839
155.0000,0.238924,0.007113,0.236469,0.010005,0.592373
155.5000,0.198265,0.000073,0.208552,0.000107,0.590790
156.0000,0.148350,0.066683,0.149680,0.066977,0.775496
156.5000,0.129561,0.001831,0.128807,0.004741,0.542696
157.0000,0.000255,0.125090,0.000176,0.125175,0.517425
157.5000,0.127663,0.023741,0.127499,0.025507,0.797834
158.0000,0.133111,0.131530,0.170597,0.129210,0.613097
158.5000,0.001412,0.147167,0.001817,0.149004,0.729505
159.0000,0.000495,0.222983,0.000718,0.247620,0.566555
159.5000,0.005707,0.143646,0.006167,0.156962,0.325651
160.0000,0.130064,0.016210,0.130675,0.018911,0.573285
160.5000,0.068990,0.133295,0.065405,0.135414,0.658057
161.0000,0.192381,0.000175,0.196705,0.000388,0.722479
161.5000,0.348475,0.150333,0.336803,0.163816,0.705271
162.0000,0.199278,0.000439,0.220615,0.000713,0.710983
162.5000,0.153540,0.000136,0.153329,0.000194,0.547050
163.0000,0.183025,0.000643,0.191359,0.001070,0.678626
163.5000,0.051734,0.126742,0.054866,0.126665,0.583374
164.0000,0.140924,0.143166,0.132324,0.152641,0.635498
164.5000,0.231930,0.000379,0.244918,0.000559,0.683421
165.0000,0.151922,0.002493,0.140487,0.002339,0.622376
165.5000,0.164340,0.004726,0.173028,0.006195,0.754465
166.0000,0.198463,0.005459,0.198813,0.006342,0.684189
166.5000,0.160775,0.001931,0.160189,0.002749,0.692345
167.0000,0.132832,0.000171,0.133232,0.000304,0.676573
167.5000,0.158000,0.001379,0.162424,0.001659,0.685692
168.0000,0.156158,0.000759,0.159709,0.000869,0.725646
168.5000,0.141533,0.133571,0.091473,0.140943,0.553167
169.0000,0.125719,0.000269,0.125685,0.000565,0.514052
169.5000,0.131663,0.117667,0.134082,0.144761,0.636380
170.0000,0.139190,0.000979,0.139784,0.001535,0.661044
170.5000,0.126631,0.000860,0.126219,0.000779,0.645013
171.0000,0.174269,0.000057,0.200147,0.000106,0.679114
171.5000,0.184358,0.003163,0.191696,0.003607,0.751920
172.0000,0.212306,0.004453,0.238849,0.006165,0.563856
