beta,t_optima,exponente_ptc,potencia_base,semilla,r_real,percentil_r_real_en_nula,media_nula,desviacion_nula
0.8,28,3,0.3,8,-0.06877564444100595,30.7,0.0026878099446309223,0.13214857154516044
0.8,28,3,0.3,9,0.047298347251521815,63,0.005412864891289675,0.12776372772641326
0.8,28,3,0.3,10,0.03776969037355226,62.3,-0.004533047265319399,0.13125884114670247
0.8,28,3,0.47,1,-0.03646313733323495,40.4,-0.0015680854749685125,0.12715821030276378
0.8,28,3,0.47,2,0.23617498262711376,96.2,-0.0012875748607566041,0.12960177400828551
0.8,28,3,0.47,4,-0.06980640457207635,29.6,0.006729358035307028,0.13697719208667444
0.8,28,3,0.47,3,-0.22142877318347318,3.6,-0.0005906176568750464,0.12591614633124165
0.8,28,3,0.47,5,-0.1893045301689302,8.3,-0.0031582459234194447,0.13041072334780854
0.8,28,3,0.47,6,0.0906081466415219,77.2,-0.008654631032754703,0.12979821073125472
0.8,28,3,0.47,7,0.2929735541111196,98.5,-0.004328844897116083,0.13069749862395896
0.8,28,3,0.47,8,-0.09493298649389553,22,0.00642914285210445,0.12917741001570043
0.8,28,3,0.47,9,0.059465659156925164,70.7,-0.0029397403620488893,0.12300591977655455
0.8,28,3,0.47,10,0.09588555234931334,76.8,-0.0007454044816178694,0.12973768537584007
0.8,28,3,0.65,1,-0.010219416331867357,47.2,0.00037070098686229323,0.12938482407313376
0.8,28,3,0.65,2,0.2945336447464645,98.6,0.0008766364250124035,0.13189070327467453
0.8,28,3,0.65,3,-0.15936756937320148,12.4,-0.008890139928923256,0.12876907036646404
0.8,28,3,0.65,4,0.03679860032648381,58.1,0.001608111299500781,0.12224659518666114
0.8,28,3,0.65,5,-0.03784368952996656,40.8,-0.00549869369664786,0.13142102214862375
0.8,28,3,0.65,7,0.2936383414580987,98.6,-0.0040219936110984095,0.12903970705140452
0.8,28,3,0.65,6,0.15953290815274893,88.4,0.00028750539781064035,0.13066945276050543
0.8,28,3,0.65,8,-0.10824196165621659,20.8,-0.0020870613021906977,0.13174760657234882
0.8,28,3,0.65,9,0.1116710511050111,80.2,-0.0040498385371466475,0.13121532996900054
0.8,28,3,0.65,10,0.15509674821319763,90.8,-0.013400355020366315,0.13093775266332594
0.8,28,4.1,0.3,1,0.042081091199996555,63.7,-0.0021304176627155807,0.12600939186566268
0.8,28,4.1,0.3,2,0.1471046257333118,84.3,0.004101751084817906,0.13384229189368
0.8,28,4.1,0.3,3,-0.2121690029874114,5.1,0.0033482472870338233,0.12884951571299616
0.8,28,4.1,0.3,4,-0.03730514981495255,38.6,-0.0016786640285157092,0.12800789250714537
0.8,28,4.1,0.3,5,-0.21474925019018437,4.4,0.004684995775269484,0.12842232424720945
0.8,28,4.1,0.3,6,-0.022099232318088254,43,-0.003271016384029142,0.12527690453437526
0.8,28,4.1,0.3,7,0.2644340199175405,98,0.0003189530856207987,0.13054218633566816
0.8,28,4.1,0.3,8,-0.06215030104212104,31.9,-0.000281594770049103,0.12943628547721353
0.8,28,4.1,0.3,9,0.04083213030222826,61.8,0.0004917968847665277,0.13197347831286635
0.8,28,4.1,0.3,10,0.013160592374007647,53.9,-0.0009579055559178213,0.13003261760447846
0.8,28,4.1,0.47,1,-0.01143897715226415,47.5,-0.0046084846603326275,0.12913990474216339
0.8,28,4.1,0.47,2,0.17528035253207339,91.3,0.003797051884541577,0.13070239029720898
0.8,28,4.1,0.47,3,-0.20910595208419155,5.4,0.0006815580829472123,0.13117372373674263
0.8,28,4.1,0.47,4,-0.02648524331236863,44.5,-0.01054383031334446,0.1287632617441006
0.8,28,4.1,0.47,5,-0.13668295844512998,15.6,-0.0026063306408540404,0.1297845591711224
0.8,28,4.1,0.47,6,0.021476086577287955,55.1,0.0037910257959818602,0.12915734763998965
