ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
55,7.66301750381871e-06,0.0018868369051424447,0.9981131630948575,0.42149023560056964,3.560153506607555e-06,0.9962298863432216,NO_SE,PRESERVAR,0.8132235353400854,0.03472401989587096,0.9652749801041922,0.0,0.005537604565431534,1.7512707690612857e-09,0.0018868224462782138,0.9999999982487292,0.7,0.6264470706801709,0.7005655159101908,0.9990565887768609,1.0,1.0
56,9.324375378718359e-05,0.0017307891323653875,0.9982692108676346,0.42237790450019846,2.995631020714068e-06,0.99654141736629,NO_SE,PRESERVAR,0.8133566856750298,0.03253276260160081,0.9674662373984624,0.0,0.006170537583111537,4.573435967171572e-09,0.0017306277470896716,0.999999995426564,0.7,0.6267133713500596,0.7005187844223231,0.9991346861264552,1.0,1.0
57,5.6798998142327574e-05,0.001595464905631012,0.998404535094369,0.4231921796861123,2.5455082651001636e-06,0.996811615697003,NO_SE,PRESERVAR,0.8134788269529168,0.030480844099636896,0.9695181559004262,0.0,0.0073102082217646296,2.3891871457804785e-09,0.0015953742848228009,0.9999999976108128,0.7,0.6269576539058337,0.7004782560924778,0.9992023128575886,1.0,1.0
58,0.00016917967284850067,0.0014888924665258717,0.9985111075334742,0.42393713419772644,2.2168007768774427e-06,0.9970244318677252,NO_SE,PRESERVAR,0.8135905701296591,0.028559253239038223,0.9714397467610247,0.0,0.009507212448633994,1.6437263009970274e-09,0.0014886405761854783,0.9999999983562737,0.7,0.627181140259318,0.7004463341514191,0.9992556797119072,1.0,1.0
59,0.00023761661744987146,0.001399669690843236,0.9986003303091567,0.4246177286704548,1.959075243465239e-06,0.997202619693557,NO_SE,PRESERVAR,0.8136926593005682,0.02675958190336614,0.9732394180966969,0.0,0.011860734750885176,4.3307958259391104e-09,0.0013993371060657506,0.9999999956692042,0.7,0.6273853186011364,0.7004196042309492,0.9993003314469672,1.0,1.0
60,0.0001272226468854939,0.0013059823967116074,0.9986940176032884,0.4252409046020513,1.7055900205206458e-06,0.9973897407965973,NO_SE,PRESERVAR,0.8137861356903078,0.025073984524290365,0.9749250154757726,0.0,0.009828220197779399,9.33456889895279e-09,0.0013058162461743118,0.9999999906654311,0.7,0.6275722713806154,0.7003915328130407,0.9993470918769128,1.0,1.0
61,0.0001996963350931876,0.0012150512481674575,0.9987849487518325,0.42581208992769926,1.4763495356732916e-06,0.9975713738532007,NO_SE,PRESERVAR,0.8138718134891549,0.023495136513039472,0.9765038634870236,0.0,0.0076593353073294455,2.5596876984889896e-09,0.001214808606886248,0.9999999974403123,0.7,0.6277436269783098,0.7003642922582229,0.9993925956965569,1.0,1.0
62,0.0001043540449815318,0.001145623982805125,0.9988543760171948,0.4263340415923485,1.3124543099783117e-06,0.9977100644886997,NO_SE,PRESERVAR,0.8139501062388523,0.022016195266444254,0.9779828047336186,0.0,0.009584451265331017,1.6612680622238422e-09,0.0011455044323084914,0.999999998338732,0.7,0.6279002124777046,0.7003434892468708,0.9994272477838457,1.0,1.0
63,0.00010409019429426956,0.0010807533044555869,0.9989192466955444,0.4268111650369912,1.1680277050916434e-06,0.997839661418794,NO_SE,PRESERVAR,0.8140216747555487,0.02063076866493782,0.9793682313351252,0.0,0.008747819196943011,1.86891762613096e-09,0.001080640808634142,0.9999999981310824,0.7,0.6280433495110974,0.7003240495723845,0.9994596795956829,1.0,1.0
64,2.8430169956018765e-05,0.0010299266446515086,0.9989700733553485,0.427246348181505,1.0607488933631197e-06,0.9979412074595904,NO_SE,PRESERVAR,0.8140869522272258,0.01933288277839806,0.9806661172216649,0.0,0.009953308475802346,2.957598860615287e-09,0.001029897363661959,0.9999999970424012,0.7,0.6281739044544515,0.7003088169586221,0.999485051318169,1.0,1.0
65,0.00029451744373025176,0.0009712862217900565,0.9990287137782099,0.4276446718003628,9.43396924639247e-07,0.9980583709533445,NO_SE,PRESERVAR,0.8141467007700545,0.018116955189102422,0.9818820448109605,0.0,0.00878836103678255,6.085452224312834e-09,0.0009710001610548846,0.9999999939145477,0.7,0.6282934015401088,0.7002912404014544,0.9995144999194726,1.0,1.0
