fase,t,ged_L,ged_R,asim_LR,coh_rel,err_L,err_R,geom,frac_L,frac_R,efic,lf
F7,18.18,0.00013167106420998895,0.0001316862677959367,1.556837359201957e-08,-0.0008427080267851849,0.16998566357786157,0.1696994082411763,0.45519163329195855,0.7899339176451721,0.8086135762682718,0.17277572405890693,1
F7,18.19,0.00013192798744928334,0.00013194302308285944,1.541882780266453e-08,-0.0008048144587739847,0.17054677688891726,0.17027248062256292,0.45512441250255264,0.7900195548442135,0.8086068597260516,0.1730084844822029,1
F7,18.2,0.00013218602483804946,0.0001322008922962303,1.5268926166900727e-08,-0.0007688953737414026,0.17106358023459825,0.1708007223538138,0.45503335325183164,0.7901128885620101,0.8085744614185292,0.173245606022034,1
F7,18.21,0.00013244517116519725,0.0001324598702435424,1.5118672605416517e-08,-0.0007413882651507027,0.1713657391862043,0.1711118303350098,0.4549565589657243,0.7901854797987307,0.8085405243816789,0.17348281548695868,1
F7,18.22,0.00013270542147817495,0.00013271995196742874,1.496806192727448e-08,-0.0006968164058263954,0.17165664978577225,0.17141759002698462,0.45488022633964237,0.7902949721821193,0.8085157464407251,0.17372213992701097,1
F7,18.23,0.00013296677088609144,0.00013298113255063633,1.4817093707836502e-08,-0.0008106833115241732,0.17162890023233462,0.17135085227070865,0.45480950688063315,0.790390594120606,0.8084767706677437,0.17396427495682074,1
F7,18.24,0.0001332292159110365,0.00013324340854329185,1.466577283616116e-08,-0.0009110305139531119,0.1712780286556324,0.17096623368931968,0.45472864978336985,0.790470048805577,0.8084579331964238,0.1742093676081508,1
F7,18.25,0.00013349275139733704,0.00013350677481455185,1.4514075932374222e-08,-0.0008778762495682367,0.17084174207266345,0.17054204935009806,0.4546393125575027,0.7905689931699272,0.8084415489355208,0.1744568369212367,1
F7,18.26,0.0001337573743892423,0.00013377122839884528,1.4361979925207706e-08,-0.0008738171145553415,0.17115344386806236,0.17085459139344802,0.45456896070561326,0.7906265887693421,0.8083970031670819,0.1747058640126533,1
F7,18.27,0.00013402307851128497,0.00013403676292101776,1.420949867421584e-08,-0.0008285761258851534,0.17138055411209038,0.17109678556469468,0.4545095445211983,0.7907065013116304,0.8083668721659937,0.17495823646551145,1
F7,18.28,0.00013428985912669933,0.00013430337376646554,1.4056667050540457e-08,-0.0007614873671748587,0.17161670629774775,0.1713555372669055,0.45443260845287425,0.7908167052845688,0.8083149871428886,0.17521168357269268,1
F7,18.29,0.0001345577088055534,0.00013457105356298504,1.3903478949544902e-08,-0.0005915408986567412,0.1714290541107515,0.17122635941944309,0.4543418673805414,0.790917586879729,0.8082667320529308,0.17546216205048132,1
F7,18.3,0.00013482662156649687,0.00013483979632016992,1.3749992090476213e-08,-0.0005223530117802176,0.1714981696047212,0.17131909797245976,0.4542880719385009,0.7910123175123235,0.8082204171327425,0.17571581543811268,1
F7,18.31,0.00013509659063545411,0.00013510959532141988,1.3596267466989907e-08,-0.0004541937351389547,0.17169232932969666,0.1715364369742765,0.4542273291276901,0.7911314380162355,0.8081915017609698,0.1759716929885007,1
F7,18.32,0.0001353676070416072,0.0001353804416333699,1.3442350804894618e-08,-0.0004922313550474527,0.1716536721982798,0.17148476869849907,0.45417255201634527,0.7912397016133553,0.8081152197809753,0.17622798157343406,1
