fase,t,ged_L,ged_R,frac_L,frac_R,sesgo_freq,asimetria_LR,G_actividad,senal_mant,eficiencia,error_rec
Fase 4,16.16,0.000570148409296453,0.0005701479365492261,0.7746971079401768,0.8025631772717953,0.03533477586785702,3.6016341977568057e-10,0.4622327984190935,0.0,0.2717559227339085,0.003502853131975247
Fase 4,16.17,0.0005734628707923578,0.0005734623998986466,0.7745463758147929,0.8026423615956481,0.03562793103250962,3.6057224176247174e-10,0.46221454687238434,0.0,0.27250179402078134,0.003501203539047285
Fase 4,16.18,0.0005767841105121067,0.0005767836416312799,0.7743957346830446,0.8027214451376344,0.03592086982124004,3.609517461443218e-10,0.4621957868940325,0.0,0.27325019358890074,0.003499637412059694
Fase 4,16.19,0.0005801119016388046,0.0005801114349297533,0.7742451895350728,0.8028004253247873,0.036213582563053445,3.614210863511659e-10,0.4621765194543275,0.0,0.27400244329285495,0.0034981542884511617
Fase 4,16.2,0.0005834460175419934,0.0005834455531631124,0.7740947453508055,0.8028792995911123,0.03650605960527004,3.618395091418081e-10,0.4621567455371183,0.0,0.2747587073736994,0.003496753703765321
Fase 4,16.21,0.0005867862317891132,0.0005867857698982821,0.7739444070998012,0.8029580653776672,0.03679829131383474,3.622070814465943e-10,0.4621364661397789,0.0,0.27551867696413207,0.003495435191689612
Fase 4,16.22,0.0005901323181569076,0.0005901318589114729,0.7737941797410939,0.8030367201326405,0.037090268073625615,3.626609940284786e-10,0.46211568227317223,0.0,0.27628145175337454,0.00349419828409421
Fase 4,16.23,0.0005934840506427822,0.0005934835941995381,0.7736440682230383,0.8031152613114271,0.03738198028876094,3.6311680121467693e-10,0.46209439496161436,0.0,0.27704686528464684,0.0034930425110709772
Fase 4,16.240000000000002,0.0005968412034761088,0.0005968407499912789,0.7734940774831552,0.8031936863767057,0.037673418382906124,3.6352621575147506e-10,0.4620726052428384,0.0,0.2778155349931075,0.0034919674009724687
Fase 4,16.25,0.0006002035511294812,0.0006002031007587006,0.7733442124479785,0.803271992798516,0.03796457279957808,3.6388929871777193e-10,0.46205031416795733,0.0,0.27858683296169895,0.003490972480450972
Fase 4,16.26,0.0006035708683299183,0.0006035704212282151,0.773194478032902,0.8033501780543318,0.03825543400244949,3.642061158842995e-10,0.46202752280142706,0.0,0.2793566182073061,0.0034900572744975844
Fase 4,16.27,0.0006069429300700139,0.0006069424863917908,0.773044879142028,0.8034282396291386,0.03854599247565209,3.6447673773436716e-10,0.4620042322210092,0.0,0.2801251248622502,0.003489221306481315
Fase 4,16.28,0.0006103195116190387,0.0006103190715180559,0.7728954206680154,0.8035061750155065,0.03883623872407752,3.647012394275134e-10,0.4619804435177326,0.0,0.2808947440798333,0.0034884640981882407
Fase 4,16.29,0.0006137003885339836,0.0006136999521633405,0.7727461074919287,0.803583981713664,0.03912616327367854,3.6487970079481877e-10,0.46195615779585564,0.0,0.28166049052570163,0.0034877851698606665
Fase 4,16.3,0.0006170853366705585,0.0006170849041826755,0.772596944483089,0.803661657231572,0.03941575667176769,3.6501220631526847e-10,0.46193137617282704,0.0,0.2824248164639895,0.003487184040236332
Fase 4,16.31,0.0006204741321941303,0.000620473703740732,0.7724479364989237,0.8037391990849961,0.039705009487315875,3.650988450816781e-10,0.46190609977924674,0.0,0.2831885546098504,0.003486660226587628
Fase 4,16.32,0.0006238665515906128,0.0006238661273227099,0.772299088384819,0.8038166047975789,0.03999391231124861,3.6513971080787095e-10,0.461880329758827,0.0,0.2839528165801281,0.003486213244760849
Fase 4,16.330000000000002,0.0006272623716773022,0.0006272619517451747,0.7721504049739708,0.8038938719009109,0.040282455756742726,3.6513490177810447e-10,0.4618540672683518,0.0,0.2847193955660662,0.003485842609215457
Fase 4,16.34,0.0006306613696136593,0.0006306609541668388,0.7720018910872389,0.8039709979346022,0.040570630459519474,3.650845208635012e-10,0.4618273134776375,0.0,0.2854871314966609,0.0034855478330633686
Fase 4,16.35,0.0006340633229120362,0.0006340629120992884,0.7718535515330002,0.8040479804463528,0.04085842707813868,3.6498867545786824e-10,0.4618000695694912,0.0,0.28625649790754965,0.003485328428108253
Fase 4,16.36,0.0006374680094483529,0.0006374676034176617,0.771705391107002,0.8041248169920217,0.04114583629429001,3.649101310139645e-10,0.4617723367396704,0.0,0.2870278629059335,0.003485183904884847
Fase 4,16.37,0.0006408752074727145,0.0006408748063712644,0.7715574145922188,0.8042015051356965,0.04143284881308417,3.6510647928041783e-10,0.46174411619684136,0.0,0.2878016565857157,0.003485113772698284
Fase 4,16.38,0.0006442846956199791,0.0006442842995941383,0.7714096267587074,0.8042780424497628,0.04171945536334157,3.653048187300227e-10,0.4617154091625376,0.0,0.2885762684087206,0.0034851175396634214
Fase 4,16.39,0.0006476962529202663,0.0006476958621155708,0.7712620323634631,0.80435442651497,0.04200564669788091,3.657715687928618e-10,0.4616862168711174,0.0,0.2893529145654624,0.003485194712744192
Fase 4,16.4,0.0006511096588094162,0.0006511092733705524,0.7711146361502782,0.8044306549205018,0.04229141359380571,3.663935328823193e-10,0.4616565405697215,0.0,0.2901310379061652,0.0034853447977929415
Fase 4,16.41,0.0006545246931393891,0.0006545243132101782,0.7709674428495986,0.8045067252640407,0.04257674685278974,3.6698454258708193e-10,0.46162638151823004,0.0,0.29091145271300384,0.0034855672995897802
Fase 4,16.42,0.0006579411361886117,0.0006579407619119931,0.7708204571783841,0.8045826351518346,0.04286163730136131,3.675446171148784e-10,0.4615957409892198,0.0,0.2916931733786038,0.003485861721881932
Fase 4,16.43,0.000661358768672266,0.0006613584001902819,0.7706736838399674,0.8046583821987633,0.04314607579118557,3.6807377844421077e-10,0.46156462026791945,0.0,0.29247516291161196,0.0034862275674230796
Fase 4,16.44,0.000664777371752529,0.0006647770092063073,0.7705271275239144,0.8047339640284034,0.04343005319934662,3.685720513270833e-10,0.46153302065216684,0.0,0.293214166443969,0.003486664338012705
Fase 4,16.45,0.0006681967270487465,0.000668196370578486,0.7703807929058862,0.804809378273092,0.04371356042862685,3.6903946327559617e-10,0.4615009434523642,0.0,0.2939020042740986,0.003487171534535427
Fase 4,16.46,0.0006716166166475608,0.000671616266392515,0.7702346846475006,0.8048846225739913,0.04399658840778623,3.694760445307849e-10,0.4614683899914326,0.0,0.29459090131338134,0.0034877486570003284
Fase 4,16.47,0.000675036823112975,0.0006750364792114369,0.770088807396194,0.8049596945811517,0.044279128091839676,3.6988182808384645e-10,0.46143536160476784,0.0,0.29527995633122117,0.0034883952045802647
Fase 4,16.48,0.0006784571294963645,0.0006784567920856518,0.7699431657850873,0.8050345919535744,0.044561170462332246,3.702568496412449e-10,0.4614018596401948,0.0,0.2959664934894495,0.003489110675651174
Fase 4,16.490000000000002,0.000681877319346433,0.0006818769885628713,0.7697977644328481,0.805109312359274,0.04484270652761429,3.707021868653473e-10,0.4613678854579211,0.0,0.29665083977951634,0.0034898945678313587
Fase 4,16.5,0.0006852971767191088,0.0006852968526980183,0.7696526079435565,0.8051838534753393,0.045123727323115065,3.7120588117690653e-10,0.4613334404304915,0.0,0.2973363066981399,0.003490746378020756
Fase 4,16.51,0.0006887164861873849,0.0006887161690630646,0.7695077009065723,0.8052582129879949,0.04540422391161341,3.71682897915927e-10,0.46129852594274096,0.0,0.29802358886894903,0.0034916656024401825
Fase 4,16.52,0.0006921350328511061,0.0006921347227568192,0.7693630478963999,0.805332388592661,0.04568418738350881,3.7213325317862616e-10,0.4612631433917479,0.0,0.2987117046882134,0.0034926517366705673
Fase 4,16.53,0.0006955526023466926,0.0006955522994146515,0.769218653472557,0.8054063779940134,0.0459636088570901,3.725569652728731e-10,0.4612272941867869,0.0,0.2993983317176546,0.0034937042756921486
Fase 4,16.54,0.0006989689808568123,0.0006989686852181651,0.7690745221794435,0.8054801789060426,0.04624247947880282,3.731041348258786e-10,0.46119097974928086,0.0,0.30008521212621636,0.0034948227139236527
Fase 4,16.55,0.0007023839551199908,0.0007023836669048064,0.7689306585462097,0.8055537890521126,0.04652079042351536,3.739427242907092e-10,0.4611542015127537,0.0,0.30077205362963066,0.0034960065452614374
Fase 4,16.56,0.0007057973124401687,0.0007057970317774229,0.7687870670866268,0.8056272061650186,0.046798532894783425,3.747616030231508e-10,0.4611169609227812,0.0,0.3014584632173178,0.0034972552631186127
Fase 4,16.57,0.0007092088406961965,0.0007092085677137576,0.7686437522989582,0.8057004279870444,0.04707569812511312,3.757079122289805e-10,0.46107925943694283,0.0,0.30214169783942696,0.0034985683604641204
Fase 4,16.580000000000002,0.0007126183283512744,0.0007126180631758898,0.7685007186658305,0.8057734522700193,0.04735227737622282,3.7682164964739923e-10,0.46104109852477265,0.0,0.3028254279150187,0.0034999453298617815
