fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,frac_L,frac_R,efic,lf
F12,60.0,1.73,0.0011486334966359596,0.0011486662840849017,-0.6197382256608901,0.05941259140555999,-1.0416980472304039e-06,0.3814412119287646,1.0,0.4747236804573555,0.6008393861632649,0
F12,60.0,1.74,0.0011502822938699846,0.0011503151031205029,0.5817459735031544,0.06031908621255222,9.256383856371831e-07,0.3807970779778823,1.0,0.469244913583867,0.6013491372005761,0
F12,60.0,1.75,0.001151944569272482,0.0011519773671947028,-0.9360447708238407,0.05971928532167903,-4.458916204722133e-06,0.38282313666855505,1.0,0.4761479733894212,0.6018707083923946,0
F12,60.0,1.76,0.0011535987403201158,0.0011536315442991275,-0.3599428770583635,0.059121842908146593,-5.599578358008006e-07,0.38235725309427127,1.0,0.47518422367377217,0.6023863387050364,0
F12,60.0,1.77,0.0011552525184063936,0.0011552853273445983,0.5160705881615838,0.06002443686619596,2.6702384809444757e-06,0.3807970779778823,1.0,0.4700067496108276,0.6029136224719486,0
F12,60.0,1.78,0.0011569057765783409,0.001156938589362889,-0.20214639791935704,0.05944666650372943,-3.576486407276074e-07,0.3807970779778823,1.0,0.4723201886155718,0.6034490957729841,0
F12,60.0,1.79,0.0011585563143994126,0.0011585891346904036,0.5338501318335845,0.06034409907872207,7.909970126425918e-07,0.3807970779778823,1.0,0.46874808381871763,0.6039794520854289,0
F12,60.0,1.8,0.0011602023398465395,0.0011602351751829687,0.5556407337876594,0.061235250598168034,8.770030228622151e-07,0.3807970779778823,1.0,0.4685777094786532,0.6044862818110666,0
F12,60.0,1.81,0.0011618442815866854,0.0011618771382671728,-0.3760454772736947,0.06062099074312588,-4.862298263952897e-07,0.3807970779778823,1.0,0.47295778341845657,0.6049916954927519,0
F12,60.0,1.82,0.0011634825048834467,0.001163515388121428,0.0279036870847883,0.06096120344150413,3.4072809666667094e-08,0.3807970779778823,1.0,0.4709389138663468,0.6055076530105085,0
F12,60.0,1.83,0.001165117318107775,0.0011651502321901475,-0.16968789368215784,0.06039265985041775,-1.9465386195776606e-07,0.3807970779778823,1.0,0.4718224829072771,0.606034276523664,0
F12,60.0,1.84,0.0011667489791485554,0.001166781927537315,-0.0889210602826904,0.059993198707244955,-1.407770961718706e-07,0.3807970779778823,1.0,0.4713675789613336,0.6065582109181821,0
F12,60.0,1.85,0.0011683777005208945,0.0011684106859728195,0.15579419497478847,0.060813513184635015,2.173201259750388e-07,0.3807970779778823,1.0,0.47013228579637983,0.6070815321151654,0
F12,60.0,1.86,0.0011700036536976238,0.0011700366783598214,-0.6216889303920181,0.06019164431781632,-1.0133824882867538e-06,0.38151974571043035,1.0,0.4738325075709512,0.6075995083090339,0
F12,60.0,1.87,0.0011716269734697033,0.0011716600389393352,0.7204008314650617,0.06107108532004024,1.497624342539936e-06,0.3807970779778823,1.0,0.4678137345003363,0.6081200903610011,0
F12,60.0,1.88,0.001173247763292301,0.0011732808707147658,-0.4408655143729203,0.060444575843821347,-4.957681484049003e-06,0.3807970779778823,1.0,0.4728193995821927,0.6086269562287739,0
F12,60.0,1.89,0.0011748660948471602,0.0011748992449615399,0.8962448887553286,0.0613191807950606,9.938295037664632e-06,0.3807970779778823,1.0,0.4664214002718572,0.6091355590289892,0
F12,60.0,1.9,0.0011764820149268364,0.0011765152081614893,0.8467404716625057,0.062187597315005005,5.7674473849345755e-06,0.3807970779778823,1.0,0.4665891103789716,0.6096533303317859,0
F12,60.0,1.91,0.0011780955462116403,0.0011781287827745256,-0.4399708310340823,0.061550099315746065,-5.8721573008262e-07,0.3807970779778823,1.0,0.4726326842278511,0.6101694648557108,0
F12,60.0,1.92,0.0011797066921442464,0.0011797399719707198,0.9572851168369628,0.062413744561863216,4.879518001963962e-06,0.3807970779778823,1.0,0.4659640644950497,0.61067248887772,0
F12,60.0,1.93,0.0011813154378224665,0.0011813487606955257,-0.32507686961595833,0.06177351860046809,-5.070989895284088e-07,0.3807970779778823,1.0,0.47195586538279855,0.6111769429943632,0
