fase,t,ged_L,ged_R,alpha_L,alpha_R,G_actividad,G_varianza,asimetria_LR,perm_nivel,senal_mant,eficiencia,ventaja,error_rec
Fase 2,15.14,0.0007927037660128921,0.0007927015070676039,0.03652508774660352,0.03598764447128401,0.4690562846275769,0.00017902399957784156,2.324031062362876e-09,0.4502725080922913,0.012474290892342931,0.28618068508067723,1.0,0.0026433251506521155
Fase 2,15.15,0.0007936769079168308,0.0007936745696651813,0.036547838513101984,0.03596578689151259,0.4691070483961451,0.00017761387053901346,2.3925035841406473e-09,0.45028999769304734,0.011417035812296389,0.2863672502172629,1.0,0.0030890405033540138
Fase 2,15.16,0.000794644554925738,0.0007946421393713113,0.03657055672129241,0.035943943163359963,0.46915741721805676,0.00017621397579098134,2.460667514662445e-09,0.4503071326435337,0.01045252432209744,0.28655195971706793,1.0,0.0034193572712178277
Fase 2,15.17,0.0007956066070243734,0.00079560411608484,0.03659324106155359,0.035922115570623095,0.46920739270649636,0.00017482455524172084,2.5287193502584932e-09,0.45032392182480474,0.009560920846091702,0.2867382628499603,1.0,0.003571565546406016
Fase 2,15.18,0.0007965629649323159,0.000796560400439576,0.03661589066908811,0.03590030542215213,0.46925697744278316,0.00017344594148965524,2.5989607413167233e-09,0.4503403767419208,0.009149298441626718,0.2869266655245834,1.0,0.00383428217728616
Fase 2,15.19,0.0007975135301109148,0.0007975108938120569,0.036638502762949075,0.03587851607414696,0.46930617134431807,0.00017207837889249536,2.667428196767946e-09,0.45035649499692565,0.008631758265697353,0.28711236082558583,1.0,0.0039044408380939527
Fase 2,15.200000000000001,0.0007984582047834913,0.0007984554983389362,0.03666107366956834,0.03585675108027795,0.46935499257755664,0.0001707216717483585,2.734204312027601e-09,0.4503723032165688,0.008553690488625223,0.2872994298367173,1.0,0.004585078892488059
Fase 2,15.21,0.0007993968919139982,0.000799394116897954,0.036683604210903366,0.035835010949925084,0.4694034422292643,0.00016937547167989874,2.8012468320658486e-09,0.45038780407854545,0.008558201327148286,0.28748797864009973,1.0,0.00452759023710874
Fase 2,15.22,0.0008003294952227125,0.0008003266531224826,0.03670609820591213,0.03581329199801514,0.46945151775185734,0.00016803952491045105,2.8669284919237175e-09,0.4504029915531858,0.008489317102128364,0.2876778918737944,1.0,0.004280957205396092
Fase 2,15.23,0.0008012559191844659,0.0008012530114012761,0.03672855845604743,0.03579159112161186,0.4694992105316766,0.00016671365747568238,2.931168771693131e-09,0.450417840250627,0.008297855688349485,0.28786739546216605,1.0,0.0037241633633436377
Fase 2,15.24,0.0008021760690451685,0.0008021730968938602,0.03675098658611901,0.03576990542641235,0.4695465114368713,0.00016539772339321476,2.99405197281424e-09,0.4504323233048838,0.007965372184185703,0.28805804962775355,1.0,0.0031946595677709733
