ventana,delta_struct,acoplamiento,error,lf,icr,irde,modo,plan,j,mezcla_nada,mezcla_preservar,mezcla_contexto,S_zona_voz,S_perturbacion,S_no_intervenir,S_contexto,V_nada,V_preservar,V_contexto,C_nada,C_preservar,C_contexto
1596,0.003108906482164378,0.08562945283378925,0.9143705471662107,0.19094467921715336,0.007332403192614144,0.8360734975250356,NO_SE,PRESERVAR,0.7786417018825731,0.13757485521270563,0.8624241447873668,0.0,0.22198577656606808,0.23083157319792835,0.0853632388728101,0.7691684268020716,0.7,0.5572834037651461,0.5745484527925913,0.957318380563595,1.0,0.9146629628690099
1597,0.00019505227163949652,0.07836401982308734,0.9216359801769126,0.20557316976954298,0.006140919602833229,0.8494128799566585,NO_SE,PRESERVAR,0.7808359754654315,0.1277001255924058,0.872298874407666,0.0,0.2419335409280531,0.17834677016496667,0.07834873474300605,0.8216532298350333,0.7,0.5616719509308629,0.6066626673992729,0.960825632628497,1.0,0.9459410741090875
1598,0.0007763900291029247,0.07196267930387422,0.9280373206961258,0.21958946955646094,0.0051786272125922475,0.8612532686048437,NO_SE,PRESERVAR,0.7829384204334692,0.11860577121197205,0.8813932287880991,0.0,0.1712716546488865,0.46327137841069366,0.07190680819719517,0.5367286215893063,0.7,0.5658768408669383,0.4196856137423225,0.9640465959014024,1.0,0.7460384357112665
1599,0.000579397274024949,0.06623233286068304,0.9337676671393169,0.23295472322862698,0.004386721916168318,0.8719220561948021,NO_SE,PRESERVAR,0.784943208484294,0.1102224927085217,0.8897765072915489,0.0,0.21641068581151002,0.31300739920407794,0.06619395802757125,0.6869926007959221,0.7,0.5698864169685881,0.515756882088129,0.9669030209862144,1.0,0.8451647920671219
1600,0.0002775027791296352,0.061423734235111285,0.9385762657648887,0.2456112075640736,0.0037728751273855814,0.880925406657163,NO_SE,PRESERVAR,0.7868416811346111,0.10248756128110659,0.8975114387189637,0.0,0.27833750730630236,0.2357654028405376,0.06140668897815652,0.7642345971594624,0.7,0.5736833622692221,0.5646136771550762,0.9692966555109217,1.0,0.8651411315984743
1601,0.00034712614260358645,0.05710025827152132,0.9428997417284787,0.25755774571726225,0.003260439494674439,0.8890599229516318,NO_SE,PRESERVAR,0.7886336618575893,0.09534440834323167,0.9046545916568381,0.0,0.3084862120824507,0.1726319187663296,0.05708043727912586,0.8273680812336703,0.7,0.5772673237151787,0.6044302643591409,0.9714597813604371,1.0,0.8978423034443428
1602,0.00028042137065279106,0.05329028673401377,0.9467097132659862,0.2687937523117021,0.0028398546601934066,0.8962592811921658,NO_SE,PRESERVAR,0.7903190628467553,0.08874196878176199,0.9112570312183073,0.0,0.33712301451050963,0.08478660094520511,0.053275342998765345,0.9152133990547949,0.7,0.5806381256935106,0.6604498172067919,0.9733623285006173,1.0,0.9539936475409077
1603,0.0006977968794376088,0.0530457254716686,0.9469542745283314,0.27898380416809165,0.002813848990815633,0.8967223980474783,NO_SE,PRESERVAR,0.7918475706252137,0.08263290847231684,0.9173660915277522,0.0,0.5331661503181578,0.39120535438672915,0.05300871032996697,0.6087946456132709,0.7,0.5836951412504275,0.4612081599415043,0.9734956448350165,1.0,0.5213822607974175
1604,0.0021970546374875176,0.06004338201232315,0.9399566179876768,0.28741519595650455,0.0036052077234777725,0.8835184436988314,NO_SE,PRESERVAR,0.7931122793934757,0.07697226866490613,0.9230267313351624,0.0,0.7121082032941152,0.702747516705491,0.05991146342142254,0.29725248329450904,0.7,0.5862245587869513,0.2606863475866062,0.9700442682892887,1.0,0.09784067232976598
1605,0.003421005533893274,0.05722381438003671,0.9427761856199632,0.2953403987376133,0.003274564932200899,0.8888269361721274,NO_SE,PRESERVAR,0.7943010598106419,0.07172380310189155,0.9282751968981767,0.0,0.1817012213607532,0.7303930652716241,0.05702805139437212,0.26960693472837594,0.7,0.588602119621284,0.24192046714762522,0.9714859743028139,1.0,0.49728526416693575
