fase,angulo,t,ged_L,ged_R,grad_E,act_busc,coh_rel,geom,geom_baja,geom_alta,frac_L,frac_R,efic,lf
F4,60.0,18.98,0.00017788127962540894,0.00017793587653746042,1.2634335595952073e-14,-0.0006006351943891319,-2.1530830191901696e-14,0.36623429265365376,0.36151547047264976,0.4087733974226715,0.7476641978201507,0.7838508277301086,0.16659214487086632,1
F4,60.0,18.99,0.00017879377799976778,0.0001788482782037319,1.2634331988186426e-14,-0.0005978124127359874,-2.1709080582428118e-14,0.3664857014460422,0.3618330409622243,0.4090337569485435,0.7480083878178828,0.7841671180287687,0.16723584068326816,1
F4,60.0,19.0,0.00017970958095861862,0.00017976398064515353,1.2634336259701876e-14,-0.0005949893464844425,-2.1671714256684933e-14,0.3667386044602101,0.362152530151932,0.4092957701393093,0.7483481808016615,0.784478551897127,0.16788219576723176,1
F4,60.0,19.01,0.00018062865470210975,0.00018068295005990514,1.2634331988186426e-14,-0.0005921660757050584,-2.163403880522225e-14,0.3669929926717135,0.36247392816638097,0.4095594284138517,0.7486832550972666,0.7847847937016621,0.16853032809722646,1
F4,60.0,19.02,0.0001815509653691317,0.000181605152590955,1.263434326245544e-14,-0.000589342680010374,-2.1740508750148974e-14,0.36724885701221216,0.36279722507706874,0.40982472314254087,0.7490265323716226,0.7850993890350713,0.1691792651447102,1
F4,60.0,19.03,0.00018247647777910647,0.00018253055306775474,1.2634335595952073e-14,-0.0005865192385565154,-2.1702440747295437e-14,0.3675061883698851,0.3631224109027072,0.41009164564753453,0.7493632218381301,0.7854068349732081,0.16982982449845008,1
F4,60.0,19.04,0.00018340515670524832,0.0001834591162855103,1.2634331988186426e-14,-0.0005836958300429185,-2.1736516132518323e-14,0.36776497758984633,0.3634494756095482,0.4103601872030769,0.7497055966866891,0.7857199962663276,0.17048218892697395,1
F4,60.0,19.05,0.0001843369661984267,0.0001843908063173507,1.2634336259701876e-14,-0.00058087253271355,-2.1697937480265916e-14,0.3680252154745635,0.36377840911171133,0.41063033903580104,0.7500447594421761,0.7860295483092475,0.17113443225037095,1
F4,60.0,19.06,0.0001852718706880575,0.00018532558759833733,1.2634331988186426e-14,-0.0005780494243560752,-2.165904566422834e-14,0.36828689278427684,0.3641092012715127,0.41090209232503155,0.7503849537881918,0.7863399395031264,0.17178938007374062,1
F4,60.0,19.07,0.0001862098343639337,0.00018626342433482372,1.263434326245544e-14,-0.000575226582303745,-2.1692634189955244e-14,0.3685500002374198,0.3644418418997942,0.4111754382030901,0.7507143360610373,0.7866387600260774,0.1724463929514959,1
