ciclo,grad_f2,grad_f13,busc_f2,busc_f13,geom_f2,geom_f13,coh_f2,coh_f13,mejor_ef,c28,c21,c29
71,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3989554907544657,0.3610621143317669,-0.0005787162412610176,0.00056790940735363,0.8873914814638676,1,1,1
72,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3985611626927312,0.3615608448857946,-0.0005772181903160015,0.000569110009543316,0.8873914814638676,1,1,1
73,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.3989056088191965,0.3542421071530242,-0.000579287820221291,0.0005667391981115983,0.8873914814638676,1,1,1
74,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.3998807998205201,0.3527234190805703,-0.0005762271031599223,0.0005723027619697348,0.8873914814638676,1,1,1
75,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.3999728170364861,0.3536865743350992,-0.0005791238796761569,0.0005680378305029206,0.8873914814638676,1,1,1
76,0.5301690371742267,-0.5301690371742267,0.01410385248242117,-0.013992318033397002,0.3988282256147179,0.346409785070967,-0.0005783516741032951,0.0005681915214844207,0.8873914814638676,1,1,1
77,0.5301690371742267,-0.5301690371742267,0.014103840712009659,-0.01400620955486537,0.39995920204672414,0.35309174649437497,-0.000578550832058433,0.0005729296460533506,0.8873914814638676,1,1,1
78,0.5301690371742267,-0.5301690371742267,0.014103877159528095,-0.014619688319679951,0.3992976580886186,0.42770057481457247,-0.0005785068505660493,0.0005902378429032061,0.8873914814638676,1,1,1
79,0.5301690371742267,-0.5301690371742267,0.014107108952538127,-0.014130917858044111,0.38849916407283364,0.3670248315676126,-0.0005984617894034641,0.0005787492609047695,0.8873914814638676,1,1,1
80,0.5301690371742267,-0.5301690371742267,0.014104475668459578,-0.013964155063304886,0.3964141629776533,0.34932960237104477,-0.0005821888558156627,0.0005708941441213609,0.8873914814638676,1,1,1
81,0.5301690371742267,-0.5301690371742267,0.014103758977743835,-0.01399684082054684,0.3993031452424914,0.3569280474700595,-0.000581065418445915,0.0005701632900307526,0.8873914814638676,1,1,1
82,0.5301690371742267,-0.5301690371742267,0.014103860822135408,-0.013991983808224773,0.3988779933660037,0.3611470036686678,-0.0005787647027904481,0.0005679292413280099,0.8873914814638676,1,1,1
83,0.5301690371742267,-0.5301690371742267,0.014103854960036844,-0.013998123565794884,0.3985663576123534,0.3617088576685046,-0.0005772680925224712,0.0005691210965071638,0.8873914814638676,1,1,1
84,0.5301690371742267,-0.5301690371742267,0.014103857750686401,-0.013986776083141698,0.39882498236318564,0.3542174057525371,-0.000579279537884914,0.0005667189171448704,0.8873914814638676,1,1,1
85,0.5301690371742267,-0.5301690371742267,0.014103825642190409,-0.013992561376030676,0.39998452010168195,0.35258468935668896,-0.0005762330617516542,0.0005723182340106115,0.8873914814638676,1,1,1
86,0.5301690371742267,-0.5301690371742267,0.014103843291600667,-0.013997390704086567,0.40001912001418793,0.35366257837736037,-0.0005791643821255694,0.0005680365260326065,0.8873914814638676,1,1,1
