bateria,tag,clave,potencia_base,beta,t_optima,exponente_ptc,sigma,modo,n,r_huella_acoplamiento,r_huella_brecha
bateria,B,0.88|5|0.65|4,0.65,0.88,25,4.1,5,parada,60,0.36372421759441964,0.8702509782661932
bateria,B,0.88|6.8|0.3|4,0.3,0.88,25,4.1,6.8,parada,60,0.3604342769934729,0.9395686111076943
bateria,B,0.88|6.8|0.47|4,0.47,0.88,25,4.1,6.8,parada,60,0.3803645171710418,0.9055162912463682
bateria,B,0.88|6.8|0.65|4,0.65,0.88,25,4.1,6.8,parada,60,0.36372421759441964,0.8702509782661932
bateria,B,0.88|8|0.3|4,0.3,0.88,25,4.1,8,parada,60,0.3604342769934729,0.9395686111076943
bateria,B,0.88|8|0.47|4,0.47,0.88,25,4.1,8,parada,60,0.3803645171710418,0.9055162912463682
bateria,B,0.88|8|0.65|4,0.65,0.88,25,4.1,8,parada,60,0.36372421759441964,0.8702509782661932
bateria,B,0.94|3|0.3|4,0.3,0.94,25,4.1,3,parada,60,0.4513689715663805,0.9454909070552237
bateria,B,0.94|3|0.47|4,0.47,0.94,25,4.1,3,parada,60,0.45710371974349917,0.9136131352320009
bateria,B,0.94|3|0.65|4,0.65,0.94,25,4.1,3,parada,60,0.41689860676213775,0.8766544717596577
bateria,B,0.94|5|0.3|4,0.3,0.94,25,4.1,5,parada,60,0.4513689715663805,0.9454909070552237
bateria,B,0.94|5|0.47|4,0.47,0.94,25,4.1,5,parada,60,0.45710371974349917,0.9136131352320009
bateria,B,0.94|5|0.65|4,0.65,0.94,25,4.1,5,parada,60,0.41689860676213775,0.8766544717596577
bateria,B,0.94|6.8|0.3|4,0.3,0.94,25,4.1,6.8,parada,60,0.4513689715663805,0.9454909070552237
bateria,B,0.94|6.8|0.47|4,0.47,0.94,25,4.1,6.8,parada,60,0.45710371974349917,0.9136131352320009
bateria,B,0.94|6.8|0.65|4,0.65,0.94,25,4.1,6.8,parada,60,0.41689860676213775,0.8766544717596577
bateria,B,0.94|8|0.3|4,0.3,0.94,25,4.1,8,parada,60,0.4513689715663805,0.9454909070552237
bateria,B,0.94|8|0.47|4,0.47,0.94,25,4.1,8,parada,60,0.45710371974349917,0.9136131352320009
bateria,B,0.94|8|0.65|4,0.65,0.94,25,4.1,8,parada,60,0.41689860676213775,0.8766544717596577
bateria,B,0.98|3|0.3|4,0.3,0.98,25,4.1,3,parada,60,0.5156501410548174,0.9504651461017759
bateria,B,0.98|3|0.47|4,0.47,0.98,25,4.1,3,parada,60,0.5048229983130068,0.919327669056917
bateria,B,0.98|3|0.65|4,0.65,0.98,25,4.1,3,parada,60,0.4405863385910666,0.8786906776533504
bateria,B,0.98|5|0.3|4,0.3,0.98,25,4.1,5,parada,60,0.5156501410548174,0.9504651461017759
bateria,B,0.98|5|0.47|4,0.47,0.98,25,4.1,5,parada,60,0.5048229983130068,0.919327669056917
