semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3458,550,1,135.0,135,0,135,135,135,135,135,1,0.007407,1.0932e-7,0.93242,0.6303,4.3623,0.0000,4.4886,4.0541,6.8019,18.35806,0.9698,0.001572,0.0790,0.00150,0.00150,0.07773,71,0.1287,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3593,550,1,132.0,132,0,132,132,132,132,132,1,0.007576,4.4035e-8,0.97291,0.9264,4.3577,0.0000,4.4560,4.2493,6.9405,18.73789,0.9815,0.001637,0.0783,0.00111,0.00111,0.07782,71,0.1304,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3729,550,1,128.0,128,0,128,128,128,128,128,1,0.007813,5.0078e-8,0.94284,0.6303,4.3409,0.4690,4.4583,3.9621,7.0410,17.62919,0.9883,0.001706,0.0773,0.00114,0.00114,0.07768,58,0.1320,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3864,550,1,125.0,125,0,125,125,125,125,125,1,0.008000,1.8483e-7,0.98441,0.8242,4.3320,0.0000,4.4760,4.1110,7.1890,18.93771,0.9921,0.001531,0.0765,0.00153,0.00153,0.07799,74,0.1324,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.4000,500,1,121.0,121,0,121,121,121,121,121,1,0.008264,1.3554e-7,1.00001,0.9902,4.3036,0.0000,4.4085,4.3158,7.1859,19.52249,0.9906,0.001553,0.0748,0.00151,0.00151,0.07806,82,0.1341,banda<=ruido,0
2,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6000,2700,1,847.0,847,0,847,847,847,847,847,1,0.001181,5.5898e-7,0.99432,0.7383,4.3530,0.0000,4.4661,4.1325,1.5005,20.52175,0.7489,0.001697,0.1313,0.00298,0.00298,0.07730,91,0.0825,banda<=ruido,0
2,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6136,3300,1,903.0,903,0,903,903,903,903,903,1,0.001107,2.2293e-7,0.94910,0.9097,4.3577,0.0000,4.4628,4.0484,0.9790,12.34360,0.7311,0.001871,0.1366,0.00319,0.00319,0.07811,92,0.0800,banda<=ruido,0
2,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6271,3600,1,953.0,953,0,953,953,953,953,953,1,0.001049,1.1282e-7,0.97136,0.9183,4.3640,0.0000,4.4927,4.2536,0.5385,10.55091,0.7129,0.001643,0.1398,0.00270,0.00270,0.07824,100,0.0744,banda<=ruido,0
2,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6407,3850,1,1025.0,1025,0,1025,1025,1025,1025,1025,1,0.000976,4.4863e-7,0.97012,0.9871,4.2532,0.0000,4.4711,4.3648,0.1376,7.57552,0.6979,0.001902,0.1433,0.00278,0.00278,0.07753,97,0.0730,banda<=ruido,0
2,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6542,4000,1,1086.0,1086,0,1086,1086,1086,1086,1086,1,0.000921,6.4381e-7,0.99406,0.9902,4.3030,0.0000,4.4346,4.1275,0.2847,6.67395,0.6953,0.001763,0.1467,0.00352,0.00352,0.07524,97,0.0690,banda<=ruido,0
2,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,0.6678,4000,1,1113.0,1113,0,1113,1113,1113,1113,1113,1,0.000898,3.0235e-7,0.99199,0.9481,4.3407,0.0000,4.4348,4.2885,0.5629,6.25319,0.6863,0.001713,0.1479,0.00247,0.00247,0.07809,91,0.0693,banda<=ruido,0
