ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
240,241,1,0.0,0.0,3.7492126879782743e-06,0.0015614463839790822,20.433443020039263,0
241,242,1,0.0,0.0,3.1882222152396866e-06,0.0014472683494785173,20.42615798947491,0
242,243,1,0.0,0.0,3.3872346322936246e-06,0.0013732349523667795,20.428047100053885,0
243,244,1,0.0,0.0,4.067398475468361e-06,0.0016338493886800386,20.43546136757661,0
244,245,1,0.0,0.0,4.050562340315433e-06,0.0018997789854780264,20.436832648414878,0
245,246,1,0.0,0.0,3.201240186736179e-06,0.0016026699475521823,20.43909960382865,0
246,247,1,0.0,0.0,4.133651619971887e-06,0.0014045321662223536,20.449131768776983,0
247,248,1,0.0,0.0,3.4041396941575773e-06,0.0015472497356515038,20.458048335786856,0
248,249,1,0.0,0.0,3.1504610448898296e-06,0.0013216098781919003,20.4579503034424,0
249,250,1,0.0,0.0,2.8623912194654276e-06,0.0011799544569989844,20.456609641698186,0
250,251,1,0.0,0.0,3.168660638387087e-06,0.0012176945332003422,20.453054397425326,0
251,252,1,0.0,0.0,3.8444629571612585e-06,0.001515843193545806,20.452185141778333,0
252,253,1,0.0,0.0,3.039186471396696e-06,0.0014544089477050311,20.45167292203472,0
253,254,1,0.0,0.0,3.53791508282957e-06,0.0013587951426279447,20.450677562374075,0
254,255,1,0.0,0.0,3.7837465896784368e-06,0.0017052008046309197,20.450326586108474,0
255,256,1,0.0,0.0,3.7067590749696505e-06,0.0017090114682689716,20.449756778627112,0
256,256,1,0.0,0.0,3.612508825579217e-06,0.0015135388260579528,20.452028648133602,0
257,256,1,0.0,0.0,3.837425626892144e-06,0.0015189959736950367,20.45912605581398,0
258,256,1,0.0,0.0,3.203181664479915e-06,0.0016071798777191986,20.46660641952226,0
259,256,1,0.0,0.0,3.6803558330266453e-06,0.0013793204129324338,20.46994564568785,0
260,256,1,0.0,0.0,2.7470343342129885e-06,0.0012718596459900336,20.471795024209257,0
261,256,1,0.0,0.0,3.519856812879761e-06,0.0012339043471709388,20.470936305195874,0
262,256,1,0.0,0.0,3.379908009577419e-06,0.001369626778002482,20.46833237749038,0
263,256,1,0.0,0.0,3.24035182520174e-06,0.0013228614825822734,20.47111995635518,0
264,256,1,0.0,0.0,3.502288683183429e-06,0.0013930242952042249,20.47230413908211,0
265,256,1,0.0,0.0,4.140377852438983e-06,0.001739383707522558,20.476335215172675,0
266,256,1,0.0,0.0,3.662057934748618e-06,0.0016646978570179383,20.482390489451134,0
267,256,1,0.0,0.0,3.132702854503231e-06,0.001280628740092817,20.479912884561625,0
268,256,1,0.0,0.0,3.7100736819310014e-06,0.0013715227014262617,20.478110600105488,0
269,256,1,0.0,0.0,3.871417746642433e-06,0.0016399424099822356,20.481048290392852,0
270,256,1,0.0,0.0,3.133101060984585e-06,0.0014851270162170242,20.485696931468425,0
271,256,1,0.0,0.0,3.987985473549337e-06,0.0013406365522885765,20.490379839351817,0
272,256,1,0.0,0.0,3.5141368426332363e-06,0.001647230122742472,20.485249279740184,0
273,256,1,0.0,0.0,3.7387354076163093e-06,0.0015598069577174361,20.478434246316862,0
274,256,1,0.0,0.0,3.778882821870097e-06,0.0016591198039872096,20.474266926856796,0
