ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
268,256,1,0.0,0.0,3.870603918392455e-06,0.0013424891021998533,20.612812127227002,0
269,256,1,0.0,0.0,3.4330636639323777e-06,0.0015625647636519665,20.612673451308204,0
270,256,1,0.0,0.0,2.956821134838819e-06,0.0011647525650686163,20.616143401187298,0
271,256,1,0.0,0.0,3.668204320576411e-06,0.0013406530196757725,20.612358361314246,0
272,256,1,0.0,0.0,3.4087911972799503e-06,0.001605785888273877,20.603324760118166,0
273,256,1,0.0,0.0,3.284844068166884e-06,0.0013700035772352855,20.5927765439329,0
274,256,1,0.0,0.0,3.478952786054381e-06,0.001334854183673941,20.586439052376306,0
275,256,1,0.0,0.0,3.5886567726699285e-06,0.0014511785300282325,20.577009010614955,0
276,256,1,0.0,0.0,3.2984051028251767e-06,0.0014073625745481188,20.562435143756748,0
277,256,1,0.0,0.0,2.8763981322505173e-06,0.0012326076914475764,20.555167202079904,0
278,256,1,0.0,0.0,3.4911187631758215e-06,0.0015220050353611948,20.557792947551576,0
279,256,1,0.0,0.0,3.7077712841233135e-06,0.001569268938090074,20.563044391934927,0
280,256,1,0.0,0.0,3.531257532769318e-06,0.0013914704300563656,20.572722087673924,0
281,256,1,0.0,0.0,3.7469806712631e-06,0.0015130292865499734,20.575732010142712,0
282,256,1,0.0,0.0,3.807820410028259e-06,0.0015495556748975398,20.572348077007348,0
283,256,1,0.0,0.0,3.294188708910181e-06,0.0015774212630609086,20.568140455522524,0
284,256,1,0.0,0.0,3.345439388281528e-06,0.0013568829363083865,20.578547781951926,0
285,256,1,0.0,0.0,3.2088570673659658e-06,0.0013239373844414152,20.582510138028347,0
286,256,1,0.0,0.0,3.71385964722948e-06,0.001456888078750342,20.580504066389583,0
287,256,1,0.0,0.0,3.704516346554775e-06,0.001541058050380626,20.579449280616366,0
288,256,1,0.0,0.0,3.4524392240081334e-06,0.0014953053202391524,20.573413749446868,0
289,256,1,0.0,0.0,3.4833245437321566e-06,0.001515910268618208,20.562616185223963,0
290,256,1,0.0,0.0,3.1844853388374404e-06,0.001269662607216727,20.554995780423692,0
291,256,1,0.0,0.0,3.4833398921965307e-06,0.001346701712709865,20.553756423105266,0
292,256,1,0.0,0.0,3.1559085579829315e-06,0.0012576256349498259,20.552402472029293,0
293,256,1,0.0,0.0,3.6553404532755623e-06,0.0014324862129915486,20.548684007345543,0
294,256,1,0.0,0.0,3.8590304429213685e-06,0.0017000514887063835,20.552310545185936,0
295,256,1,0.0,0.0,3.014506899850346e-06,0.0013634505288898518,20.553851478368568,0
296,256,1,0.0,0.0,3.502273219284751e-06,0.0013900995126485253,20.554868649447954,0
297,256,1,0.0,0.0,3.7412314293007656e-06,0.001568959706109167,20.55395926413091,0
298,256,1,0.0,0.0,3.4276628165767913e-06,0.0015119579741721262,20.543803551199975,0
299,256,1,0.0,0.0,3.4800962953684684e-06,0.0014707052038761919,20.53376889087857,0
300,256,1,0.0,0.0,3.245204480631075e-06,0.0015001859888333154,20.523275872226655,0
301,256,1,0.0,0.0,3.6276906392284563e-06,0.001485089223000148,20.5217727003527,0
