anio,anillo_san_gabriel,arboles_san_gabriel,anillo_el_asiento,arboles_el_asiento,lluvia_mm_medida,inundacion_documentada
1821,0.824,45,1.047,50,,
1822,1.024,47,0.749,50,,
1823,1.063,47,0.654,50,,
1824,1.061,51,0.85,50,,
1825,1.081,51,1.169,50,,
1826,1.148,51,1.231,51,,
1827,1.44,51,1.362,51,,
1828,1.184,52,1.105,51,,
1829,1.131,52,1.283,51,,
1830,1.551,52,1.18,51,,
1831,1.184,52,0.79,51,,
1832,1.267,52,0.996,51,,
1833,1.296,52,1.074,51,,
1834,1.36,52,1.08,51,,
1835,1.227,52,1.18,51,,
1836,1.552,52,1.393,52,,
1837,1.719,52,1.402,52,,
1838,1.553,53,1.21,52,,
1839,0.94,53,1.039,52,,
1840,0.886,53,0.858,52,,
1841,0.933,53,1.032,52,,
1842,0.894,53,1.094,53,,
1843,1.33,53,1.27,54,,
